player_name,squad,appearances,matches_started,minutes_played,goals,assists,yellow_cards,red_cards
Caner Erkin,Fenerbahçe,29,18,1667,2,0,6,1
Fabian Ernst,Beşiktaş,27,27,2395,2,0,3,0
Bülent Ertuğrul,Eskişehirspor,21,19,1633,2,0,3,0
Burhan Eşer,Eskişehirspor,18,8,839,0,0,0,0
Orhan Evci,Ankaragücü,11,3,330,0,1,0,0
Jacques Faty,Sivasspor,13,11,873,0,0,2,1
İbrahim Ferdi Coşkun,Mersin İY,5,2,194,0,0,0,0
Manuel Fernandes,Beşiktaş,26,25,2190,5,9,5,1
Michael Fink,Samsunspor,31,30,2558,1,5,4,0
Sašo Fornezzi,Orduspor,25,25,2250,0,0,2,0
Miguel Garcia,Orduspor,30,30,2639,2,0,5,0
Aybars Garhan,Ankaragücü,28,13,1389,5,0,2,0
Efşan Geçgin,Gençlerbirliği,1,1,39,0,0,0,0
Theofanis Gekas,Samsunspor,11,11,927,8,1,2,1
Volkan Gevik,Ankaragücü,4,3,274,0,1,1,0
Yiğit Gökoğlan,Galatasaray,8,0,181,1,0,0,0
Yiğit Gökoğlan,Manisaspor,16,14,1081,1,0,3,0
Cenk Gönen,Beşiktaş,26,25,2295,0,0,1,0
Gökhan Gönül,Fenerbahçe,26,26,2204,1,4,3,0
Jean-Jacques Gosso,Orduspor,23,22,1886,0,0,7,0
Kamil Grosicki,Sivasspor,34,32,2658,6,9,4,0
Hürriyet Güçer,Ankaragücü,16,16,1398,2,0,4,1
Hürriyet Güçer,Eskişehirspor,13,13,1103,0,0,4,1
Dilaver Güçlü,Samsunspor,4,0,35,0,0,0,0
Bilal Gülden,Ankaragücü,18,17,1468,0,1,2,0
Orhan Gülle,Gaziantepspor,19,9,926,1,0,2,0
Serhat Gülpınar,İstanbul BB,8,2,292,0,0,1,0
Ceyhun Gülselam,Galatasaray,11,2,220,1,0,0,0
Ersan Gülüm,Beşiktaş,4,3,262,0,0,0,0
Çetin Güngör,Gaziantepspor,3,1,127,0,0,0,0
Emre Güngör,Gaziantepspor,18,16,1452,0,0,9,0
Eren Güngör,Kayserispor,31,31,2779,1,0,9,0
Mert Günok,Fenerbahçe,2,2,180,0,0,0,0
Murat Gürbüzerol,Manisaspor,5,1,146,0,0,0,0
Guti,Beşiktaş,1,1,69,0,0,0,0
Erhan Güven,Mersin İY,28,28,2457,1,3,3,0
Mehmet Güven,Manisaspor,16,13,1160,0,0,1,0
Arkadiusz Głowacki,Trabzonspor,15,15,1172,0,0,1,0
İsmail Haktan Odabaşı,Bursaspor,10,1,160,0,0,1,0
Jugurtha Hamroun,Karabükspor,8,5,483,0,0,2,0
Labinot Harbuzi,Manisaspor,5,2,168,0,1,0,0
Labinot Harbuzi,Gençlerbirliği,4,3,186,0,0,1,0
Kenan Hasagić,İstanbul BB,8,8,668,0,0,1,0
Samet Hasan Yıldıran,Samsunspor,2,0,25,0,0,0,0
Cihan Haspolatlı,İstanbul BB,16,12,1181,2,0,1,0
Paulo Henrique,Trabzonspor,26,21,986,2,3,3,0
Birol Hikmet,Karabükspor,28,26,1942,2,4,5,0
Roberto Hilbert,Beşiktaş,19,17,1457,1,1,3,0
Samuel Holmén,İstanbul BB,33,33,2880,7,0,5,0
Filip Hološko,Beşiktaş,18,11,819,3,1,1,0
Özer Hurmacı,Fenerbahçe,15,10,681,1,1,1,0
Özgür İleri,Gençlerbirliği,18,14,1208,1,0,2,0
Ahmet İlhan Özek,Manisaspor,28,24,1920,3,4,7,0
Selçuk İnan,Galatasaray,33,33,2967,10,12,2,0
Efe İnanç,İstanbul BB,20,17,1506,3,1,10,2
Yiğit İncedemir,Manisaspor,29,28,2381,0,0,16,2
Uğur İnceman,Antalyaspor,31,28,2464,3,3,9,0
Federico Insúa,Bursaspor,7,5,325,0,1,0,0
Ozan İpek,Bursaspor,30,28,2496,5,4,7,0
Gökay Iravul,Fenerbahçe,3,1,211,0,0,0,0
Bekir İrtegün,Fenerbahçe,17,15,1437,0,0,7,0
İsmail İsa,Karabükspor,3,2,147,0,0,1,0
Ivan,Gaziantepspor,21,15,1460,0,1,2,0
Vanja Iveša,Eskişehirspor,32,32,2802,0,0,5,0
Maciej Iwański,Manisaspor,4,1,60,0,0,0,0
Jabá,Antalyaspor,8,4,427,1,0,1,0
Sanel Jahić,Karabükspor,13,12,1170,3,0,4,0
Petr Janda,Antalyaspor,1,0,8,0,0,0,0
Javito,Orduspor,14,11,1125,1,0,1,0
Hasan Kabze,Orduspor,9,6,516,2,0,0,0
Giray Kaçar,Trabzonspor,31,30,2790,2,0,8,0
Kahê,Manisaspor,29,15,1049,0,3,1,0
Murat Kalkan,Orduspor,11,5,460,0,0,0,0
Sinan Kaloğlu,Karabükspor,5,2,107,0,0,1,0
Sinan Kaloğlu,Antalyaspor,2,0,26,0,0,0,0
Yannick Kamanan,Mersin İY,8,3,245,0,0,0,0
Diomansy Kamara,Eskişehirspor,31,28,2543,13,3,8,1
Kaan Kanak,Ankaragücü,10,8,702,0,1,0,0
Burak Kaplan,Beşiktaş,5,1,179,0,0,1,0
Özkan Karabulut,Gençlerbirliği,5,5,450,0,0,1,0
Batuhan Karadeniz,Eskişehirspor,27,18,966,3,1,3,0
Anıl Karaer,Karabükspor,2,1,126,0,0,0,0
Onur Karakabak,Manisaspor,1,0,45,0,0,0,0
Kıvanç Karakaş,Sivasspor,23,18,1293,3,0,7,1
Žydrūnas Karčemarskas,Gaziantepspor,29,29,2599,0,0,3,1
İbrahim Kaş,Mersin İY,23,22,1914,0,0,13,2
Veli Kavlak,Beşiktaş,28,26,2138,1,2,9,1
Uğur Kavuk,Sivasspor,30,30,2616,0,1,11,0
Doğa Kaya,Antalyaspor,20,14,1330,0,3,5,1
Nurullah Kaya,Mersin İY,9,5,470,0,0,2,0
Semih Kaya,Galatasaray,24,23,2160,1,0,7,0
Sercan Kaya,Trabzonspor,2,0,22,0,0,0,0
Abdülkadir Kayalı,Orduspor,9,3,280,0,0,2,0
Tanju Kayhan,Beşiktaş,10,5,439,0,0,3,0
Colin Kazim-Richards,Galatasaray,18,14,1346,3,0,5,0
Mustafa Keçeli,Mersin İY,29,29,2450,0,0,8,0
Ergin Keleş,Karabükspor,6,2,85,0,0,0,0
Ergin Keleş,Ankaragücü,17,12,1154,3,0,3,0
Dejan Kelhar,Samsunspor,10,9,895,0,0,4,0
Polat Keser,Antalyaspor,1,0,8,0,0,0,0
Abdullah Keseroğlu,Ankaragücü,4,2,210,0,0,0,0
Serdar Kesimal,Fenerbahçe,12,12,1080,0,0,4,0
Zurab Khizanishvili,Kayserispor,29,29,2565,1,0,10,0
Akaki Khubutia,Samsunspor,19,16,1216,1,0,4,0
Erman Kılıç,Sivasspor,33,32,2655,9,6,7,0
Erdal Kılıçaslan,Gençlerbirliği,9,4,383,1,0,0,0
Erdal Kılıçaslan,Mersin İY,8,5,447,1,0,1,0
Bilal Kısa,Karabükspor,24,18,725,3,1,1,0
Michael Klukowski,Manisaspor,26,25,2259,0,2,5,0
Atilla Koca,Sivasspor,18,18,1620,0,0,1,0
Bülent Kocabey,Samsunspor,8,3,205,0,0,1,0
Adem Koçak,Bursaspor,28,26,2290,0,1,2,0
Bora Körk,Karabükspor,3,3,270,0,0,0,0
Bora Körk,Ankaragücü,7,7,630,0,0,0,0
Egemen Korkmaz,Beşiktaş,31,31,2669,1,1,6,1
Zeki Korkmaz,İstanbul BB,14,9,768,0,0,3,0
Ramazan Köse,Gençlerbirliği,29,29,2610,0,0,1,0
Tevfik Köse,İstanbul BB,15,8,367,3,1,0,0
İsmail Köybaşı,Beşiktaş,25,23,2110,0,1,2,0
Enes Kubat,Ankaragücü,1,0,63,0,0,0,0
Ali Kuçik,Karabükspor,8,4,314,1,1,2,0
Emir Kujović,Kayserispor,18,16,1104,8,1,2,0
Ömer Kulga,Orduspor,7,6,496,0,0,2,0
Ante Kulušić,Gençlerbirliği,20,18,1603,0,0,6,0
Ümit Kurt,Ankaragücü,19,19,1710,0,0,3,0
Serdar Kurtuluş,Gaziantepspor,30,28,2510,1,1,7,0
Yekta Kurtuluş,Galatasaray,3,1,117,0,0,0,0
Sinan Kurumuş,Ankaragücü,5,2,155,0,0,0,0
Marcin Kuś,İstanbul BB,21,18,1581,0,1,2,0
Pál Lázár,Samsunspor,10,8,548,0,1,1,1
Theo Lewis Weeks,Ankaragücü,13,11,1026,1,0,2,0
Larrys Mabiala,Karabükspor,14,13,1214,2,2,2,2
Doka Madureira,İstanbul BB,33,31,2756,9,3,5,0
Ariza Makukula,Manisaspor,11,2,278,0,0,0,0
Ersen Martin,Gençlerbirliği,3,2,107,0,0,0,0
Felipe Melo,Galatasaray,30,30,2539,10,1,10,0
Hurşut Meriç,Gençlerbirliği,32,30,2675,5,6,6,0
Bruno Mezenga,Orduspor,9,3,266,0,0,0,0
Adrian Mierzejewski,Trabzonspor,31,20,1601,0,5,2,0
Veselin Minev,Antalyaspor,25,25,2159,0,0,8,1
André Moritz,Mersin İY,32,29,2316,3,5,9,0
Joachim Mununga,Gençlerbirliği,12,4,326,0,1,0,0
Fernando Muslera,Galatasaray,33,33,2880,1,0,3,1
Alfred N'Diaye,Bursaspor,32,31,2880,3,0,7,0
Safet Nadarević,Eskişehirspor,22,20,1922,0,0,5,1
Mehmet Nas,Sivasspor,30,28,2655,3,3,2,0
Nicolás Navarro,Kayserispor,29,29,2610,0,0,4,1
Jakub Navrátil,Sivasspor,33,32,2880,3,0,6,0
Sammy Ndjock,Antalyaspor,7,7,630,0,0,0,0
Tobias Nickenig,Orduspor,7,6,630,0,0,1,0
Danilo Nikolić,Karabükspor,12,10,1080,0,0,4,1
Recep Niyaz,Fenerbahçe,3,1,211,0,0,0,0
Musa Nizam,Antalyaspor,16,12,1288,0,0,5,0
Márcio Nobre,Mersin İY,26,23,2316,11,2,7,2
