player_name,squad,appearances,matches_started,minutes_played,goals,assists,yellow_cards,red_cards
Ekrem Dağ,Beşiktaş,22,18,1980,0,1,1,0
İbrahim Dağaşan,Antalyaspor,30,28,2700,0,0,9,1
Wilfried Dalmat,Orduspor,25,22,2250,0,2,7,0
Dedê,Eskişehirspor,32,30,2880,3,7,8,0
Gökhan Değirmenci,Kayserispor,7,5,630,0,0,0,0
Spas Delev,Mersin İY,12,9,1080,2,0,0,0
Oktay Delibalta,Gençlerbirliği,26,22,2340,3,4,4,0
Aykut Demir,Gençlerbirliği,27,25,2430,2,0,9,0
Muhammet Demir,Gaziantepspor,27,24,2430,10,1,2,0
Muhammed Demirci,Beşiktaş,1,0,90,0,0,0,0
Volkan Demirel,Fenerbahçe,32,32,2880,0,0,3,0
Serol Demirhan,Ankaragücü,10,8,900,2,0,0,0
Okan Deniz,Bursaspor,2,1,180,0,0,0,0
Metin Depe,İstanbul BB,23,20,2070,2,0,8,0
Abdurrahman Dereli,Orduspor,21,18,1890,0,0,2,0
Armand Deumi,Karabükspor,9,7,810,0,0,2,1
Issiar Dia,Fenerbahçe,13,11,1170,3,1,0,0
Anıl Dilaver,Samsunspor,14,11,1260,0,0,2,0
Babacar Diop,Kayserispor,1,1,90,0,0,1,0
Jimmy Dixon,Manisaspor,24,22,2160,0,0,4,0
Arafat Djako,Gaziantepspor,4,2,360,0,0,0,0
İshak Doğan,Ankaragücü,22,20,1980,1,0,4,0
Turgut Doğan Şahin,Gaziantepspor,11,7,990,0,1,1,0
Turgut Doğan Şahin,Ankaragücü,18,15,1620,2,1,7,0
Álvaro Domínguez,Samsunspor,16,14,1440,2,1,4,0
Duncan,Sivasspor,11,9,990,3,0,2,0
Abdullah Durak,Kayserispor,26,24,2283,0,0,5,0
Murat Duruer,Ankaragücü,13,11,1170,1,2,0,0
Murat Duruer,Gençlerbirliği,8,5,720,0,0,0,0
Emmanuel Eboué,Galatasaray,25,22,2250,2,2,3,0
Edu,Beşiktaş,21,18,1890,3,0,2,0
Ekigho Ehiosun,Samsunspor,31,28,2790,9,3,2,0
İlhan Eker,Kayserispor,9,7,810,0,0,3,0
Ekrem Ekşioğlu,İstanbul BB,22,19,1980,0,0,5,0
Ákos Elek,Eskişehirspor,3,2,270,0,0,0,0
Johan Elmander,Galatasaray,30,28,2700,12,4,2,0
Fevzi Elmas,Orduspor,9,7,810,0,0,2,0
Abdullah Elyasa Süme,Gaziantepspor,29,26,2610,4,0,9,1
Michael Eneramo,Sivasspor,29,27,2610,11,7,5,0
Emre Çolak,Galatasaray,25,18,2160,3,1,3,0
Gustavo Colman,Trabzonspor,30,24,2700,2,7,8,0
