match_id,minute,player_in,player_in_id,player_out,player_out_id,is_home
7131899,85,Erdem Özgenç,60332,Serdar Kurtuluş,18861,False
7131899,82,Ahmet Dereli,163711,Magaye Gueye,51417,True
7131899,78,Sinan Bakış,169317,Tomáš Necid,18955,False
7131899,66,Edgar Silva,54691,Cem Özdemir,135862,True
7131899,50,Samican Keskin,257025,Bekir Yılmaz,81620,True
7131899,46,Sercan Yıldırım,43173,Cristóbal Jorquera,18346,False
7131902,86,Turgut Şahin,60645,Adem Büyük,60250,False
7131902,82,Matúš Bero,187207,Güray Vural,43559,True
7131902,71,Batuhan Altıntaş,226994,Tunay Torun,30241,False
7131902,63,Mustafa Akbaş,140731,Fabián Castillo,151561,True
7131902,63,Hyun-Jun Suk,106249,Muhammet Demir,43543,True
7131902,55,Herolind Shala,78895,Veysel Sarı,98276,False
7131904,88,Abdülkerim Bardakcı,178963,Deni Milošević,190403,False
7131904,83,Halil İbrahim Sönmez,806193,Dimitar Rangelov,20744,False
7131904,80,Mehmet Akyüz,74144,Robin Yalçın,138154,True
7131904,71,Ioan Hora,44460,Riad Bajić,331751,False
7131904,67,Recep Niyaz,116944,Ümit Kurt,135789,True
7131904,59,Oğulcan Çağlayan,387050,Patryk Tuszyński,71075,True
7131898,84,Sajjad Shahbazzadeh,844573,Jonathan Ayite,51439,False
7131898,83,Aras Özbiliz,133780,Ricardo Quaresma,6254,True
7131898,67,Kerim Frei,157014,Olcay Şahan,16078,True
7131898,65,Taha Yalçıner,60346,Ismail Aissati,10675,False
7131898,46,Wilde-Donald Guerrier,199416,Isaac Sackey,292965,False
7131898,28,Necip Uysal,43394,Adriano,4441,True
7131897,87,Aleksandar Šćekić,836566,İrfan Can Kahveci,226986,True
7131897,85,Orkan Çınar,283901,Daniel Larsson,7129,False
7131897,78,Aydin Karabulut,18862,Serdar Gürler,96520,True
7131897,78,Davy Claude Angan,39242,Sergei Kislyak,49809,False
7131897,63,Vedat Muriqi,310874,Cosmin Matei,44429,True
7131897,57,Alpay Kocakli,612018,Evans Kangwa,604444,False
7131905,87,Mert Özyıldırım,999314,Samba Sow,73059,True
7131905,87,Ömer Bayram,68335,Soner Aydoğdu,69351,False
7131905,86,Anil Karaer,81941,Jean-Armel Kana-Biyik,39020,True
7131905,46,Onur Ayık,67140,Sami,60779,False
7131905,46,Aykut Çeviker,74133,Ricardo Vaz Tê,1261,False
7131905,22,Kubilay Sönmez,169213,Srđan Mijailović,98436,True
7131903,83,Emre Güral,37705,Mbilla Etame,60426,True
7131903,82,Cheick Diabaté,44298,Pierre Webó,4618,False
7131903,79,Muhammed Bayir,344301,Erdal Kılıçaslan,43693,False
