team_id,season_id,matches,goalsScored,goalsConceded,assists,shots,shotsOnTarget,bigChances,bigChancesCreated,averageBallPossession,totalPasses,accuratePassesPercentage,tackles,interceptions,clearances,saves,yellowCards,redCards,avgRating
3050,11927,34,73,30,55,537,202,43,70,60.617647058824,18225,84.537722908093,561,448,560,80,65,2,7.0145336225597
3086,11927,34,63,28,47,436,157,33,43,53.323529411765,15438,78.818499805674,557,521,682,82,65,4,6.9486140724947
3052,11927,34,60,32,44,403,153,28,45,53.470588235294,14485,78.715913013462,677,466,635,96,89,4,6.9353711790393
3061,11927,34,65,40,44,484,183,30,45,60.970588235294,19315,84.540512555009,524,475,645,95,66,3,6.9828947368421
3056,11927,34,47,40,36,431,166,36,49,50.029411764706,12992,77.232142857143,656,593,843,94,90,6,6.8917391304348
3051,11927,34,39,34,27,467,162,23,25,52.088235294118,13989,77.353634998928,645,581,816,87,101,4,6.9445676274944
24748,11927,34,46,42,33,365,132,39,49,43.558823529412,12504,73.168586052463,560,575,784,113,71,2,6.8234913793103
7802,11927,34,33,34,24,371,134,28,36,46.5,12067,73.091903538576,548,627,743,111,72,3,6.8145922746781
3085,11927,34,40,45,27,322,115,26,37,50.264705882353,15440,77.255079591044,542,513,783,87,62,3,6.8073913043478
6063,11927,34,46,50,34,402,140,31,42,47.794117647059,13746,80.139676996945,587,521,817,112,67,2,6.8415584415584
7027,11927,34,38,48,19,437,136,24,28,50.558823529412,13799,75.135879411552,548,513,675,99,89,4,6.7247826086956
6362,11927,34,54,65,34,412,155,28,43,48.617647058824,14028,79.227259766182,634,566,599,86,91,4,6.7907894736842
3057,11927,34,37,45,26,500,166,29,38,52.323529411765,13432,77.76950565813,637,531,712,89,81,3,6.8632258064516
3055,11927,34,34,58,20,335,121,25,35,45.117647058824,12831,75.122749590835,610,622,764,112,78,7,6.7210300429185
3072,11927,34,47,58,30,387,131,32,41,49.794117647059,13458,76.48238965671,585,484,729,102,96,4,6.7411894273128
3064,11927,34,44,53,24,401,137,31,33,44.235294117647,12646,75.921239917761,661,520,807,119,69,8,6.7954935622317
3060,11927,34,30,65,19,365,119,26,31,43.647058823529,11892,71.981163807602,553,524,736,113,81,6,6.7208602150538
3069,11927,34,33,62,18,379,130,26,26,47.088235294118,13948,76.578061187934,671,627,723,113,89,4,6.749667405765
