match_id,home_ballpossession,away_ballpossession,home_totalshotsongoal,away_totalshotsongoal,home_goalkeepersaves,away_goalkeepersaves,home_cornerkicks,away_cornerkicks,home_fouls,away_fouls,home_passes,away_passes,home_freekicks,away_freekicks,home_yellowcards,away_yellowcards,home_shotsongoal,away_shotsongoal,home_hitwoodwork,away_hitwoodwork,home_shotsoffgoal,away_shotsoffgoal,home_blockedscoringattempt,away_blockedscoringattempt,home_totalshotsinsidebox,away_totalshotsinsidebox,home_totalshotsoutsidebox,away_totalshotsoutsidebox,home_offsides,away_offsides,home_accuratepasses,away_accuratepasses,home_throwins,away_throwins,home_duelwonpercent,away_duelwonpercent,home_groundduelspercentage,away_groundduelspercentage,home_aerialduelspercentage,away_aerialduelspercentage,home_goalkicks,away_goalkicks,home_accuratethroughball,away_accuratethroughball,home_redcards,away_redcards
7133771,41,59,9,11,3,3,4,4,25,14,360,499,14,20,2,2,3,3,1,2,3,8,3,0,4,9,5,2,2,2,265,417,31,19,44,56,43,46,7,17,12,3,0,1,,
7133764,47,53,22,9,2,2,2,4,17,13,466,522,11,16,0,4,5,2,1,1,13,4,4,3,14,3,8,6,2,1,383,446,26,17,47,53,31,47,16,5,7,12,1,0,,
7133794,45,55,8,9,1,1,4,2,17,15,343,412,13,13,1,5,3,3,0,0,5,4,0,2,5,4,3,5,,,247,306,21,26,56,44,51,37,19,17,14,8,0,1,,
7133780,42,58,10,16,4,2,5,6,18,15,382,522,15,18,1,2,2,7,0,0,6,5,2,4,6,6,4,10,,,313,447,23,4,45,55,36,51,10,5,8,8,1,1,,
7133777,62,38,10,15,2,3,1,3,10,13,656,394,12,9,1,1,3,4,0,0,5,8,2,3,4,11,6,5,3,2,576,321,18,19,58,42,36,25,13,10,9,7,0,1,,
7133779,48,52,11,11,2,3,3,3,12,14,514,561,14,11,4,2,5,3,1,1,5,8,1,0,7,6,4,5,3,6,437,485,16,24,53,47,40,36,12,10,9,5,1,0,1,0
7133783,44,56,10,19,3,2,1,4,21,16,341,441,16,20,4,5,3,4,0,0,5,10,2,5,6,12,4,7,7,1,245,337,22,16,45,55,47,54,14,21,11,10,,,,
7133781,48,52,12,9,2,4,5,4,21,21,335,367,18,20,3,3,5,4,0,0,7,4,0,1,9,8,3,1,7,2,238,270,33,15,46,54,38,40,19,27,9,13,,,,
7133782,59,41,15,14,4,1,3,4,16,19,469,321,19,15,3,4,4,6,1,1,9,7,2,1,9,9,6,5,1,2,355,211,31,31,47,53,31,47,23,14,7,8,1,3,,
7133778,66,34,23,8,2,8,7,4,10,11,520,273,9,9,3,4,9,4,2,0,9,2,5,2,10,5,13,3,2,0,443,187,26,19,55,45,49,38,14,13,4,11,1,2,,
7133785,44,56,10,19,4,2,2,6,14,10,417,523,10,13,2,0,2,8,0,1,6,9,2,2,7,8,3,11,3,4,343,461,19,14,44,56,27,39,8,6,11,5,0,1,,
7133775,47,53,15,12,1,2,5,5,18,16,428,496,15,16,4,5,5,5,0,1,8,5,2,2,9,7,6,5,1,1,359,415,20,17,51,49,42,49,12,3,6,8,0,1,,
7133793,41,59,13,14,2,3,5,3,13,14,366,512,14,12,2,1,5,5,1,0,4,7,4,2,10,9,3,5,4,1,301,432,16,15,57,43,34,27,11,7,8,9,1,0,,
7133792,47,53,11,15,5,2,8,7,16,16,387,430,15,16,0,1,3,5,1,0,5,7,3,3,6,11,5,4,6,1,309,355,29,20,51,49,33,33,10,8,7,11,,,,
7133789,53,47,8,12,2,1,1,1,15,6,506,450,5,12,1,2,5,4,0,1,2,8,1,0,5,7,3,5,3,1,443,379,17,17,56,44,28,25,8,3,9,7,4,1,,
7133784,35,65,9,20,3,4,4,4,13,11,321,600,9,12,,,4,4,0,1,3,15,2,1,2,10,7,10,2,0,238,528,15,17,51,49,32,30,10,10,19,6,1,1,,
7133787,47,53,13,13,4,3,2,4,9,14,504,558,13,9,1,0,4,7,0,0,5,3,4,3,6,6,7,7,1,2,428,484,14,21,44,56,37,47,6,7,9,4,0,1,,
7133791,56,44,9,17,5,2,3,6,12,14,530,399,14,11,0,2,6,5,0,1,2,10,1,2,7,12,2,5,2,1,455,327,16,6,58,42,52,40,14,8,8,4,1,1,,
7133790,51,49,19,12,1,4,3,8,12,7,507,479,7,12,1,1,6,2,0,0,11,5,2,5,11,7,8,5,2,3,419,383,16,16,55,45,37,34,15,9,10,15,1,0,,
7133786,61,39,4,18,2,0,4,5,17,12,565,335,10,14,2,1,1,5,0,0,2,5,1,8,2,12,2,6,,,484,254,16,20,47,53,32,43,16,11,12,4,,,,
7133788,41,59,7,25,8,2,4,9,17,6,368,504,6,16,2,0,3,8,1,0,3,12,1,5,6,16,1,9,1,0,277,440,18,18,42,58,28,39,13,17,19,8,,,,
