match_id,minute,added_time,player,player_id,card_type,is_home
9643882,84,,Güven Yalçın,826162,yellow,True
9643882,45,,Welinton,76529,yellow,True
9643882,33,,Erik Sabo,156617,yellow,False
9643881,81,,Lucas Biglia,17799,yellow,True
9643881,59,,Hamza Mendyl,846447,yellow,False
9643881,50,,Aleksandar Pešić,41069,yellow,True
9643881,45,2,Ángelo Sagal,588784,yellowRed,False
9643881,37,,Ángelo Sagal,588784,yellow,False
9643888,-5,,Uğur Demirok,43427,yellow,False
9643889,90,,Ahmet Engin,791087,yellow,False
9643889,68,,Kamil Ahmet Çörekçi,124728,yellow,True
9643889,60,,Mehdi Boudjemaa,960088,yellow,True
9643889,51,,Haris Hajradinović,254979,yellow,False
9643889,32,,Mortadha Ben Ouanes,919225,yellow,False
9643889,14,,Onur Ergün,893009,yellow,True
9643887,64,,Manolis Siopis,136675,yellow,False
9643887,30,,Davidson,814334,yellow,False
9643886,90,1,Tayyip Talha Sanuç,851909,yellow,True
9643886,82,,Bright Osayi-Samuel,791616,yellow,False
9643886,31,,Marcel Tisserand,338651,yellow,False
9643884,90,6,Cherif Ndiaye,868268,yellow,False
9643884,90,2,Dino Arslanagić,94280,yellow,False
9643884,88,,Brown Ideye,37377,yellow,False
9643884,71,,Hakan Özmert,43512,yellow,True
9643884,20,,Adis Jahović,55367,yellow,False
9643884,19,,Andrea Poli,29746,yellow,True
9643884,18,,Atınç Nukan,115205,yellow,False
9643884,17,,Houssameddine Ghacha,941633,yellow,True
9643885,90,,Ibrahim Šehić,63952,yellow,False
9643885,54,,Abdülkerim Bardakcı,178963,yellow,False
9643883,89,,Adem Büyük,60250,yellow,True
9643883,57,,Jospin Nshimirimana,1015829,yellow,True
9643883,23,,Anthony Nwakaeme,139455,yellow,False
9643880,90,,Christian Luyindama,867191,yellow,False
9643880,63,,Marcão,840951,red,False
9643880,45,,Hüsamettin Tut,60477,red,True
9643880,11,,Taylan Antalyalı,190197,yellow,False
9643895,85,,Benjamin Stambouli,105951,yellow,False
9643895,80,,Francis Ezeh,999288,yellow,False
9643895,45,3,İbrahim Akdağ,847053,yellow,True
9643895,45,2,Babajide David Akintola,798676,yellow,False
9643895,42,,Semih Güler,325155,yellow,False
9643895,41,,Jonas Svensson,98199,yellow,False
9643895,-5,,,,yellow,True
9643895,-5,,Ferhat Kaplan,81949,yellow,False
9643891,90,1,Haris Hajradinović,254979,yellow,True
9643891,90,,Douglas,185233,yellow,False
9643891,80,,Kevin Varga,602730,yellow,True
9643891,79,,Flávio,839521,yellow,False
9643891,48,,Fousseni Diabaté,796374,yellow,False
9643891,37,,Mortadha Ben Ouanes,919225,yellow,True
9643494,90,3,Jimmy Durmaz,37504,yellow,False
9643494,81,,Fabricio Baiano,329469,yellow,True
9643894,76,,Famara Diédhiou,293115,yellowRed,True
9643894,61,,Famara Diédhiou,293115,yellow,True
9643894,31,,Nemanja Milunović,54775,yellow,True
9643894,23,,Efecan Karaca,60510,red,True
9643890,45,3,Domagoj Vida,51225,yellow,False
9643890,45,3,Alin Toșca,110210,yellow,True
9643890,12,,Fabrice N'Sakala,123387,yellow,False
9643890,4,,Hamza Mendyl,846447,yellow,True
9643896,88,,Sokol Cikalleshi,81138,yellow,True
9643897,90,6,Ruud Boffin,15039,yellow,False
9643897,90,3,Naldo,243719,yellow,False
9643897,62,,Nazım Sangaré,169425,yellow,True
9643898,40,,Obinna Nwobodo,887836,yellow,True
9643898,34,,Jospin Nshimirimana,1015829,yellow,False
9643893,90,5,Ali Şaşal Vural,94540,yellow,False
9643893,90,5,Anastasios Bakasetas,114076,yellow,True
9643893,90,2,Uğurcan Çakır,754330,yellow,True
9643893,72,,Anthony Nwakaeme,139455,yellow,True
9643893,32,,Vitor Hugo,794838,yellow,True
9643893,13,,Okechukwu Azubuike,807114,yellow,False
9643893,-5,,,,yellow,False
9643892,84,,Simon Falette,201918,yellow,False
9643892,24,,Rúben Ribeiro,44653,yellow,False
9643892,2,,Christian Luyindama,867191,yellow,True
9643902,90,9,Bryan Dabo,116623,yellow,False
9643902,90,2,Fabricio Baiano,329469,yellow,False
9643902,90,2,Hakan Özmert,43512,yellow,True
9643902,80,,Güray Vural,43559,yellow,True
9643902,26,,Gökhan Gönül,30137,yellow,False
9643480,90,2,Adil Demirbağ,787949,yellow,False
9643480,66,,Abdülkerim Bardakcı,178963,yellow,False
9643480,53,,Serdar Gürler,96520,yellow,False
9643904,65,,Ömer Ali Şahiner,103912,yellow,True
9643904,53,,Uğur Demirok,43427,yellow,False
9643904,45,1,Fredrik Gulbrandsen,51833,yellow,True
9643904,37,,Lucas Lima,248529,yellow,True
9643901,90,5,Papy Djilobodji,106661,yellow,False
9643901,90,3,Wallace,800407,yellow,True
9643901,90,3,Recep Niyaz,116944,yellow,False
9643901,54,,Hamza Mendyl,846447,yellow,False
9643493,90,4,Ersin Destanoğlu,913656,yellow,True
9643493,61,,Efe Tatlı,992390,yellow,False
9643493,48,,Salih Uçan,135695,yellowRed,True
9643493,42,,Ervin Zukanović,48543,yellow,False
9643493,36,,Salih Uçan,135695,yellow,True
9643493,16,,Jimmy Durmaz,37504,yellow,False
9643493,14,,Erhun Öztümer,582228,yellow,False
9643906,85,,Fatih Kurucuk,807093,yellow,True
9643906,78,,Sam Adekugbe,362042,yellow,True
9643906,76,,Fatih Aksoy,827922,yellow,False
9643906,75,,Mehdi Boudjemaa,960088,yellow,True
9643906,66,,Mame Biram Diouf,22481,yellow,True
9643906,6,,Adama Traoré,333239,yellow,True
9643900,90,2,Valentin Eysseric,139798,yellow,True
9643900,72,,Loret Sadiku,143356,yellow,True
9643903,72,,Murat Paluli,893014,yellow,False
9643903,70,,Olarenwaju Kayode,799559,red,True
9643905,75,,Ferdi Kadıoğlu,825844,yellow,False
9643899,72,,Djaniny,975869,yellow,False
9643899,44,,Joey Pelupessy,235404,yellow,True
9643899,25,,İsmail Köybaşı,43605,yellow,False
9643899,4,,Anastasios Bakasetas,114076,yellow,False
9643899,-5,,,,yellow,False
9643908,84,,Jonas Svensson,98199,yellow,False
9643908,74,,Gökhan Inler,4252,yellow,False
9643913,79,,Amar Rahmanović,138123,yellow,True
9643913,78,,César Pinares,818974,yellow,False
9643913,72,,Zymer Bytyqi,226784,yellow,True
9643913,58,,Amir Hadžiahmetović,795421,yellow,True
9643913,19,,André Poko,177103,yellow,False
9643909,15,,Miralem Pjanić,27678,yellow,True
9643912,81,,Dimitris Kolovetsios,68228,yellow,True
