position,team,team_id,matches,wins,draws,losses,goals_for,goals_against,goal_diff,points
1,Trabzonspor,3051,38,23,12,3,69,36,+33,81
2,Fenerbahçe,3052,38,21,10,7,73,38,+35,73
3,Konyaspor,3085,38,20,8,10,66,45,+21,68
4,Başakşehir FK,3086,38,19,8,11,56,36,+20,65
5,Alanyaspor,6362,38,19,7,12,67,58,+9,64
6,Beşiktaş JK,3050,38,15,14,9,56,48,+8,59
7,Antalyaspor,3056,38,16,11,11,54,47,+7,59
8,Fatih Karagümrük,4954,38,16,9,13,47,52,-5,57
9,Adana Demirspor,3101,38,15,10,13,60,47,+13,55
10,Sivasspor,3076,38,14,12,12,52,50,+2,54
11,Kasımpaşa,6063,38,15,8,15,67,57,+10,53
12,Hatayspor,3091,38,15,8,15,56,60,-4,53
13,Galatasaray,3061,38,14,10,14,51,53,-2,52
14,Kayserispor,3072,38,12,11,15,54,61,-7,47
15,Gaziantep FK,5138,38,12,10,16,48,56,-8,46
16,Giresunspor,5765,38,12,9,17,41,47,-6,45
17,Çaykur Rizespor,3064,38,10,6,22,44,71,-27,36
18,Altay,3070,38,9,7,22,39,57,-18,34
19,Göztepe,3054,38,7,7,24,40,77,-37,28
20,Yeni Malatyaspor,24759,38,5,5,28,27,71,-44,20
