match_id,home_ballpossession,away_ballpossession,home_bigchancecreated,away_bigchancecreated,home_totalshotsongoal,away_totalshotsongoal,home_goalkeepersaves,away_goalkeepersaves,home_cornerkicks,away_cornerkicks,home_fouls,away_fouls,home_passes,away_passes,home_totaltackle,away_totaltackle,home_freekicks,away_freekicks,home_yellowcards,away_yellowcards,home_shotsongoal,away_shotsongoal,home_hitwoodwork,away_hitwoodwork,home_shotsoffgoal,away_shotsoffgoal,home_blockedscoringattempt,away_blockedscoringattempt,home_totalshotsinsidebox,away_totalshotsinsidebox,home_totalshotsoutsidebox,away_totalshotsoutsidebox,home_bigchancescored,away_bigchancescored,home_fouledfinalthird,away_fouledfinalthird,home_offsides,away_offsides,home_accuratepasses,away_accuratepasses,home_throwins,away_throwins,home_finalthirdentries,away_finalthirdentries,home_accuratelongballs,away_accuratelongballs,home_accuratecross,away_accuratecross,home_duelwonpercent,away_duelwonpercent,home_dispossessed,away_dispossessed,home_groundduelspercentage,away_groundduelspercentage,home_aerialduelspercentage,away_aerialduelspercentage,home_dribblespercentage,away_dribblespercentage,home_wontacklepercent,away_wontacklepercent,home_interceptionwon,away_interceptionwon,home_totalclearance,away_totalclearance,home_goalkicks,away_goalkicks,home_redcards,away_redcards,home_bigchancemissed,away_bigchancemissed,home_accuratethroughball,away_accuratethroughball
9644033,48,52,2,2,7,12,2,1,2,5,7,12,379,410,12,14,12,6,4,3,2,5,0,1,5,5,0,2,4,8,3,4,1,1,2,0,2,4,276,329,23,18,61,50,34,32,2,4,59,41,5,7,32,27,25,13,8,7,9,6,14,14,21,24,4,11,1,1,1,1,,
9644029,57,43,5,1,22,6,1,6,3,2,12,13,486,376,7,9,13,12,0,5,7,2,0,0,13,4,2,0,14,2,8,4,0,1,3,3,1,1,385,257,18,13,68,54,39,27,9,1,48,52,4,1,25,27,21,23,5,6,3,5,10,8,7,24,9,13,0,2,5,0,1,0
9644025,28,72,1,3,2,29,13,1,0,5,6,12,289,720,17,21,11,5,1,1,2,14,0,0,0,8,0,7,1,21,1,8,1,1,0,2,0,3,194,650,15,23,42,92,23,46,0,10,49,51,10,10,33,33,11,13,6,7,9,13,9,9,33,3,14,3,2,0,0,2,1,0
9644024,47,53,1,1,14,13,4,3,7,3,16,13,428,491,10,15,13,16,1,1,5,5,1,0,3,6,6,2,12,7,2,6,1,0,3,0,3,2,350,404,12,21,47,46,45,43,5,3,44,56,5,5,32,42,13,16,9,11,9,11,18,11,13,23,7,5,,,0,1,1,0
9644027,44,56,1,1,13,9,3,3,2,2,13,15,370,469,16,22,14,12,2,2,5,5,0,0,7,2,1,2,7,5,6,4,1,1,4,3,3,2,290,388,20,20,51,39,33,25,3,4,53,47,10,12,44,44,13,6,14,12,8,17,12,10,19,14,6,12,,,,,,
9644026,54,46,1,3,10,19,4,1,3,2,11,17,426,348,19,13,14,11,3,4,3,5,1,2,4,7,3,7,5,15,5,4,1,1,2,3,1,3,298,234,20,35,43,67,23,25,2,5,54,46,10,9,42,32,25,26,9,8,10,5,6,9,33,17,10,9,1,0,0,2,,
9644035,55,45,4,0,21,8,2,8,7,4,18,23,388,323,16,14,21,18,1,6,10,2,1,1,4,4,7,2,15,4,6,4,1,0,7,0,4,1,310,232,20,14,53,50,29,19,4,1,51,49,9,12,46,46,14,11,9,15,7,6,15,12,14,13,6,8,0,1,3,0,,
9643578,50,50,3,1,19,13,3,5,4,6,18,15,407,407,19,22,14,17,4,3,7,3,1,1,10,6,2,4,10,10,9,3,,,1,4,1,5,326,310,11,19,48,49,35,24,6,1,51,49,12,9,42,52,20,7,9,13,10,11,16,8,29,9,6,12,,,3,1,1,1
9644034,52,48,4,3,16,9,4,5,7,6,14,11,443,411,15,9,9,13,3,3,5,5,0,1,4,3,7,1,9,6,7,3,0,1,0,3,1,1,315,288,24,20,58,51,27,30,6,2,46,54,4,10,29,28,18,27,5,7,7,9,6,13,16,20,8,6,,,4,2,,
9644036,58,42,1,1,11,7,5,4,4,4,7,14,578,427,16,24,11,7,1,2,4,5,2,0,3,1,4,1,3,4,8,3,,,2,1,0,1,512,353,19,27,63,40,32,25,3,1,51,49,14,7,36,38,14,10,9,7,13,11,23,9,8,26,6,4,,,1,1,3,0
9644042,55,45,1,1,9,12,2,1,5,3,14,11,464,396,15,21,9,13,,,1,3,0,1,5,5,3,4,4,8,5,4,0,1,1,2,0,3,358,290,24,27,56,62,28,39,6,3,46,54,8,5,36,45,20,20,13,10,6,14,11,3,25,30,12,8,,,1,0,0,1
9644037,51,49,1,1,17,13,3,4,7,4,13,8,490,467,12,18,8,12,1,2,5,4,0,0,8,7,4,2,8,10,9,3,0,1,1,3,6,0,420,405,17,14,56,49,23,31,6,5,48,52,12,6,27,36,12,7,7,6,10,11,10,9,17,15,11,7,,,1,0,,
9644041,66,34,1,1,15,9,3,4,7,3,15,14,515,277,15,21,13,13,2,1,4,4,1,0,8,2,3,3,4,3,11,6,,,2,1,5,1,428,176,27,14,89,41,36,34,3,1,48,52,12,7,36,40,14,14,9,6,8,10,12,16,7,41,2,13,,,1,1,1,0
9644040,66,34,2,0,17,8,1,6,3,1,15,10,690,335,23,15,9,15,1,1,8,1,0,0,5,7,4,0,7,5,10,3,2,0,1,1,7,3,623,276,24,18,56,35,34,31,1,3,48,52,10,15,38,38,2,5,5,8,11,11,13,20,12,11,9,7,,,,,2,0
9644038,38,62,2,0,10,10,5,3,2,7,14,10,355,568,17,13,10,13,3,0,6,5,0,0,4,4,0,1,6,5,4,5,2,0,0,5,3,2,280,507,14,22,34,61,24,28,3,7,55,45,8,6,40,36,15,9,14,10,10,8,11,11,22,7,10,4,,,,,1,0
9644039,46,54,0,2,12,12,6,3,6,3,16,14,362,440,19,14,13,15,3,4,4,6,0,2,4,5,4,1,8,8,4,4,,,3,1,2,0,280,360,32,22,51,45,19,17,3,2,50,50,9,11,39,33,9,15,7,4,12,8,15,19,10,27,11,7,,,0,2,,
9644045,71,29,4,1,24,3,0,7,7,2,9,12,669,280,17,16,10,8,0,2,7,0,0,0,7,3,10,0,15,3,9,0,1,0,6,0,6,0,595,205,21,23,73,24,24,18,9,2,55,45,11,7,38,33,13,8,11,9,14,11,19,7,4,15,6,9,,,3,1,,
9643485,34,66,3,2,13,15,3,2,5,4,22,8,282,557,17,14,8,21,1,3,5,4,1,0,5,7,3,4,11,11,2,4,1,1,2,7,2,3,209,482,12,16,49,51,23,36,6,7,40,60,7,7,36,48,7,17,11,13,10,9,8,6,16,16,9,6,,,2,1,1,0
9644049,53,47,2,1,13,12,2,1,5,3,11,12,545,494,6,4,12,11,2,4,2,3,0,0,8,6,3,3,4,10,9,2,1,0,1,1,1,5,485,427,10,13,37,54,24,25,6,2,52,48,3,1,25,23,6,6,7,8,3,1,7,9,12,9,6,8,1,1,1,1,1,0
9644050,45,55,1,1,15,12,3,5,6,4,9,15,346,417,7,7,14,9,2,0,8,4,0,0,7,5,0,3,10,6,5,6,1,0,0,2,1,1,249,326,14,17,60,58,26,26,3,8,43,57,2,5,30,27,13,30,9,11,5,5,17,20,29,8,10,10,,,0,1,2,0
9644043,63,37,2,0,21,6,2,6,12,1,18,12,574,351,9,17,12,17,2,0,6,3,0,0,10,2,5,1,17,3,4,3,,,2,3,1,1,465,244,24,14,79,54,38,34,12,1,51,49,12,4,26,38,36,22,6,4,6,8,4,9,4,43,4,14,,,2,0,,
9644047,62,38,2,1,15,11,1,4,8,5,9,14,463,275,14,15,11,9,3,3,4,2,0,0,7,4,4,5,9,6,6,5,,,1,2,1,4,383,199,22,21,68,51,27,35,7,4,54,46,8,11,33,27,22,19,8,4,8,8,12,18,15,25,8,13,,,2,1,,
9644046,41,59,3,1,6,15,3,0,1,12,17,14,306,433,17,15,13,16,4,0,4,3,0,0,0,9,2,3,5,8,1,7,3,0,2,3,3,1,225,347,19,23,64,54,30,31,3,9,53,47,10,14,40,39,21,15,10,8,12,9,3,7,44,16,10,2,1,0,0,1,2,0
9643507,50,50,3,0,10,8,1,2,8,2,14,12,418,412,26,23,11,13,0,1,3,1,0,0,2,5,5,2,8,4,2,4,,,0,2,7,1,321,321,22,23,44,55,26,16,4,1,44,56,7,14,41,51,14,18,4,15,15,17,8,8,20,16,13,5,,,3,0,0,1
9644044,52,48,3,6,10,22,8,3,3,4,16,17,376,348,24,17,16,14,5,3,5,10,0,1,4,6,1,6,5,16,5,6,2,1,2,6,3,2,281,249,23,28,51,44,31,25,4,4,56,44,12,18,47,38,20,14,8,7,12,9,7,10,27,8,7,11,1,1,1,5,0,1
9644048,62,38,2,1,16,14,7,3,9,1,17,12,543,338,19,15,12,16,2,3,4,9,1,0,6,3,6,2,11,6,5,8,1,0,3,2,3,0,489,284,19,14,48,33,28,30,7,2,48,52,6,8,46,51,10,9,15,20,12,9,4,13,9,24,6,12,,,1,1,0,1
9644051,58,42,1,1,16,7,3,3,10,4,9,15,530,389,16,17,13,9,1,3,4,3,0,0,5,3,7,1,9,3,7,4,1,0,3,1,3,3,429,280,23,18,66,57,39,30,4,3,51,49,9,12,38,32,17,20,9,6,10,14,7,13,16,34,5,10,,,0,1,,
9644058,62,38,0,2,14,11,1,1,3,6,7,14,478,286,13,28,14,6,1,1,2,3,1,0,7,3,5,5,7,7,7,4,0,2,3,1,2,4,373,178,33,30,65,64,29,14,1,4,47,53,18,7,34,40,20,20,7,6,9,22,4,13,15,18,9,10,,,,,1,2
9644056,51,49,0,2,12,16,9,6,5,10,11,7,454,416,13,13,6,11,,,7,11,0,0,4,4,1,1,8,10,4,6,,,1,2,1,5,371,349,7,23,43,61,16,38,5,7,45,55,6,7,21,34,21,18,2,11,8,7,4,10,32,11,7,7,,,0,2,2,1
9643570,47,53,4,0,11,14,4,3,4,3,14,10,414,457,16,20,10,14,4,2,5,4,0,0,1,8,5,2,9,7,2,7,2,0,2,5,2,1,327,378,22,15,43,54,21,31,3,7,46,54,12,8,37,46,12,11,11,12,7,13,11,11,19,13,11,3,1,0,2,0,,
9644054,43,57,1,2,10,10,1,3,3,2,14,10,399,536,16,12,10,14,2,1,4,3,0,0,4,5,2,2,3,4,7,6,1,1,0,2,1,1,317,451,15,23,57,52,33,22,1,1,49,51,2,9,33,29,5,10,7,3,11,5,13,5,10,21,7,13,,,0,1,0,1
9643506,39,61,1,0,14,4,1,2,1,1,18,10,377,595,11,15,10,16,3,1,3,2,1,0,6,0,5,2,10,3,4,1,,,2,4,0,4,295,510,32,19,35,45,13,30,4,6,39,61,2,6,31,44,8,16,10,13,3,9,9,13,14,12,6,9,,,1,0,,
9644055,33,67,0,4,16,12,5,5,9,0,20,7,295,651,10,17,7,18,4,1,5,7,1,0,5,3,6,2,10,8,6,4,0,2,3,1,2,1,223,575,19,13,48,41,14,25,5,0,37,63,10,6,25,46,9,11,8,11,7,11,11,17,9,23,6,8,,,0,2,,
9644052,52,48,0,3,11,14,2,2,7,7,12,13,483,448,14,15,13,10,,,2,4,0,1,2,5,7,5,6,10,5,4,0,2,2,4,0,3,378,359,28,21,61,44,30,17,4,2,54,46,4,6,40,31,9,10,13,6,9,6,7,17,12,18,5,7,1,0,0,1,,
9644053,41,59,6,4,16,13,3,3,9,5,8,7,305,449,15,11,7,7,5,5,7,5,0,0,4,5,5,3,15,9,1,4,3,1,2,3,3,0,229,368,18,19,48,34,31,20,5,4,50,50,2,7,25,28,18,15,4,10,6,7,14,12,10,18,9,6,0,1,3,3,1,0
10102162,45,55,3,1,13,12,3,3,2,3,11,11,457,555,8,14,10,11,2,1,4,4,0,1,6,5,3,3,6,9,7,3,1,1,3,3,4,1,392,481,15,18,40,78,28,24,5,6,55,45,5,5,31,32,18,8,14,8,2,9,16,11,15,13,9,7,,,2,0,1,1
9644060,46,54,0,3,12,11,2,5,3,4,10,13,413,498,10,18,12,7,1,1,5,3,0,0,6,6,1,2,8,5,4,6,0,1,3,3,5,4,327,402,23,19,67,48,31,22,3,4,51,49,10,4,33,31,10,11,11,6,7,8,11,18,13,18,13,9,,,0,2,1,0
9643495,56,44,4,0,20,15,5,5,8,7,10,15,439,359,20,11,14,10,3,2,8,5,0,0,9,7,3,3,12,8,8,7,1,0,1,3,3,0,389,305,19,15,47,44,35,18,8,3,51,49,5,10,40,34,6,10,6,13,8,5,14,5,23,26,6,7,,,3,0,1,0
9644063,40,60,1,2,10,20,4,1,5,1,19,14,285,433,21,16,14,19,4,4,3,5,0,0,5,9,2,6,9,11,1,9,1,1,3,2,0,2,169,339,23,24,66,58,25,39,5,6,47,53,14,12,40,41,21,29,8,6,14,11,16,27,12,11,11,5,,,0,1,,
