player_id,name,short_name,position,jersey_number,height,preferred_foot,date_of_birth_ts,team_id,market_value_eur,nationality,roster_source
5534,Faryd Mondragón,F. Mondragón,G,1,191,,46310400,3061,,Colombia,season_lineups
2472253,Capone,Capone,D,,,,75427200,3061,,Brazil,season_lineups
2281978,Gheorghe Popescu,G. Popescu,D,,188,,-70416000,3061,,Romania,season_lineups
1422245,Bülent Korkmaz,B. Korkmaz,D,3,181,,-34819200,3061,,Türkiye,season_lineups
2281207,Hakan Ünsal,H. Ünsal,D,,178,,106185600,3061,,Türkiye,season_lineups
487,Ümit Davala,Ü. Davala,M,5,186,,112838400,3061,,Türkiye,season_lineups
2516514,Suat Kaya,S. Kaya,,,,,,3061,,,season_lineups
1844922,Sergen Yalçin,S. Yalçin,M,,181,,89769600,3061,,Türkiye,season_lineups
5718,Ergun Penbe,E. Penbe,D,67,177,,74908800,3061,,Türkiye,season_lineups
2326130,Arif Erdem,A. Erdem,F,,,,63158400,3061,,Türkiye,season_lineups
11991,Berkant Goktan,B. Goktan,F,7,176,,345427200,3061,,Türkiye,season_lineups
5353,Gustavo Victoria,G. Victoria,D,,178,,327110400,3061,,Colombia,season_lineups
1854503,Sébastien Pérez,S. Pérez,D,8,178,,122947200,3061,,France,season_lineups
5900,Bulent Akin,B. Akin,M,,182,,304646400,3061,,Türkiye,season_lineups
1422255,Emre Asik,E. Asik,D,2,183,,124588800,3061,,Türkiye,season_lineups
5691,Ayhan Akman,A. Akman,M,18,173,,225504000,3061,,Türkiye,season_lineups
1854461,Serkan Aykut,S. Aykut,F,,175,,162432000,3061,,Türkiye,season_lineups
60329,Kerem Inan,K. Inan,,,189,,322790400,3061,,Türkiye,season_lineups
1422247,Hasan Sas,H. Sas,F,,176,,207705600,3061,,Türkiye,season_lineups
81957,Faruk Atalay,F. Atalay,,,176,,353721600,3061,,Türkiye,season_lineups
2516492,Vedat Inceefe,V. Inceefe,D,,183,,134006400,3061,,Türkiye,season_lineups
6173,Emrah Eren,E. Eren,D,34,175,,279763200,3061,,Türkiye,season_lineups
1854454,Mehmet Bölükbasi,M. Bölükbasi,G,,188,,272764800,3061,,Türkiye,season_lineups
5294,Umit Karan,U. Karan,F,9,181,,212976000,3061,,Türkiye,season_lineups
5707,Andres Fleurquin,A. Fleurquin,M,5,186,,176169600,3061,,Uruguay,season_lineups
18753,Pavel Horvath,P. Horvath,M,,187,,167356800,3061,,Czechia,season_lineups
1854459,Robert Spehar,R. Spehar,F,,185,,11404800,3061,,Croatia,season_lineups
2514771,Erhan Namli,E. Namli,,,,,,3061,,,season_lineups
2514787,Murat Sozkesen,M. Sozkesen,,,,,,3061,,,season_lineups
1854455,João Batista,J. Batista,M,7,175,,163123200,3061,,Brazil,season_lineups
803401,Sedat Debreli,S. Debreli,M,,174,,410227200,3061,,Türkiye,season_lineups
2516485,Radu Niculescu,R. Niculescu,F,,184,,162950400,3061,,Romania,season_lineups
5715,Sabri Sarioğlu,S. Sarioğlu,D,55,170,,459648000,3061,,Türkiye,season_lineups
38168,Jersson Gonzalez Diaz,J. G. Diaz,M,,174,,159062400,3061,,Colombia,season_lineups
1422240,Rüstü Reçber,R. Reçber,G,34,187,,105840000,3052,,Türkiye,season_lineups
