position,team,team_id,matches,wins,draws,losses,goals_for,goals_against,goal_diff,points
1,Galatasaray,3061,34,24,6,4,75,31,+44,78
2,Fenerbahçe,3052,34,24,3,7,70,31,+39,75
3,Beşiktaş JK,3050,34,18,8,8,69,39,+30,62
4,MKE Ankaragücü,3103,34,15,8,11,72,58,+14,53
5,Denizlispor,3058,34,12,12,10,65,52,+13,48
6,Gaziantepspor,3060,34,13,9,12,57,52,+5,48
7,Göztepe,3054,34,12,9,13,38,56,-18,45
8,Gençlerbirliği,7802,34,11,12,11,47,51,-4,45
9,İstanbulspor,3066,34,12,8,14,33,38,-5,44
10,Bursaspor,3055,34,13,5,16,48,60,-12,44
11,Kocaelispor,3065,34,12,7,15,45,60,-15,43
12,Diyarbakırspor,362025,34,10,10,14,41,50,-9,40
13,Malatyaspor,3067,34,11,7,16,34,50,-16,40
14,Trabzonspor,3051,34,11,7,16,49,60,-11,40
15,Samsunspor,3053,34,10,8,16,32,43,-11,38
16,Çaykur Rizespor,3064,34,9,10,15,43,51,-8,37
17,Antalyaspor,3056,34,9,10,15,46,61,-15,37
18,Yozgatspor 1959 FK,3059,34,6,9,19,46,67,-21,27
