position,team,team_id,matches,wins,draws,losses,goals_for,goals_against,goal_diff,points
1,Fenerbahçe,3052,34,23,7,4,82,41,+41,76
2,Trabzonspor,3051,34,22,6,6,60,38,+22,72
3,Beşiktaş JK,3050,34,18,8,8,65,45,+20,62
4,Gaziantepspor,3060,34,18,3,13,52,51,+1,57
5,Denizlispor,3058,34,17,4,13,52,43,+9,55
6,Galatasaray,3061,34,15,9,10,56,47,+9,54
7,Samsunspor,3053,34,13,7,14,46,47,-1,46
8,Malatyaspor,3067,34,11,12,11,51,40,+11,45
9,MKE Ankaragücü,3103,34,13,6,15,48,53,-5,45
10,Gençlerbirliği,7802,34,12,8,14,56,52,+4,44
11,Konyaspor,3085,34,10,14,10,53,54,-1,44
12,Diyarbakırspor,362025,34,12,7,15,44,54,-10,43
13,Sebatspor,3098,34,11,9,14,45,53,-8,42
14,Çaykur Rizespor,3064,34,13,3,18,37,53,-16,42
15,İstanbulspor,3066,34,11,8,15,46,45,+1,41
16,Bursaspor,3055,34,10,10,14,40,40,0,40
17,Adanaspor,3069,34,6,4,24,38,73,-35,22
18,Elazığspor,3068,34,5,7,22,37,79,-42,22
