position,team,team_id,matches,wins,draws,losses,goals_for,goals_against,goal_diff,points
1,Fenerbahçe,3052,34,26,2,6,77,24,+53,80
2,Trabzonspor,3051,34,24,5,5,73,29,+44,77
3,Galatasaray,3061,34,24,4,6,64,25,+39,76
4,Beşiktaş JK,3050,34,20,9,5,70,39,+31,69
5,Gençlerbirliği,7802,34,14,9,11,52,41,+11,51
6,Denizlispor,3058,34,13,10,11,46,45,+1,49
7,Sincan Belediyesi Ankaraspor,3057,34,13,9,12,52,48,+4,48
8,Konyaspor,3085,34,11,12,11,62,62,0,45
9,Gaziantepspor,3060,34,13,5,16,49,55,-6,44
10,Çaykur Rizespor,3064,34,11,10,13,36,37,-1,43
11,Malatyaspor,3067,34,12,7,15,47,53,-6,43
12,Samsunspor,3053,34,10,8,16,40,55,-15,38
13,MKE Ankaragücü,3103,34,10,8,16,37,61,-24,38
14,Kayserispor,3072,34,8,10,16,42,65,-23,34
15,Diyarbakırspor,362025,34,9,7,18,31,53,-22,34
16,Sakaryaspor,3080,34,9,5,20,51,72,-21,32
17,İstanbulspor,3066,34,5,12,17,32,59,-27,27
18,Sebatspor,3098,34,3,10,21,40,78,-38,19
