position,team,team_id,matches,wins,draws,losses,goals_for,goals_against,goal_diff,points
1,Beşiktaş JK,3050,34,26,7,1,63,21,+42,85
2,Galatasaray,3061,34,24,5,5,61,27,+34,77
3,Gençlerbirliği,7802,34,19,9,6,76,40,+36,66
4,Gaziantepspor,3060,34,16,9,9,61,41,+20,57
5,Malatyaspor,3067,34,14,10,10,56,45,+11,52
6,Fenerbahçe,3052,34,13,12,9,55,42,+13,51
7,Trabzonspor,3051,34,13,12,9,44,33,+11,51
8,MKE Ankaragücü,3103,34,15,4,15,44,42,+2,49
9,İstanbulspor,3066,34,12,7,15,42,47,-5,43
10,Denizlispor,3058,34,10,10,14,37,42,-5,40
11,Adanaspor,3069,34,10,10,14,44,54,-10,40
12,Samsunspor,3053,34,10,9,15,42,59,-17,39
13,Elazığspor,3068,34,10,7,17,40,59,-19,37
14,Diyarbakırspor,362025,34,9,9,16,34,47,-13,36
15,Bursaspor,3055,34,9,9,16,42,62,-20,36
16,Altay,3070,34,9,8,17,48,69,-21,35
17,Göztepe,3054,34,5,11,18,32,57,-25,26
18,Kocaelispor,3065,34,6,4,24,32,66,-34,22
