match_id,home_ballpossession,away_ballpossession,home_totalshotsongoal,away_totalshotsongoal,home_goalkeepersaves,away_goalkeepersaves,home_cornerkicks,away_cornerkicks,home_fouls,away_fouls,home_passes,away_passes,home_freekicks,away_freekicks,home_yellowcards,away_yellowcards,home_redcards,away_redcards,home_shotsongoal,away_shotsongoal,home_hitwoodwork,away_hitwoodwork,home_shotsoffgoal,away_shotsoffgoal,home_blockedscoringattempt,away_blockedscoringattempt,home_totalshotsinsidebox,away_totalshotsinsidebox,home_totalshotsoutsidebox,away_totalshotsoutsidebox,home_accuratethroughball,away_accuratethroughball,home_offsides,away_offsides,home_accuratepasses,away_accuratepasses,home_throwins,away_throwins,home_duelwonpercent,away_duelwonpercent,home_groundduelspercentage,away_groundduelspercentage,home_aerialduelspercentage,away_aerialduelspercentage,home_goalkicks,away_goalkicks
6802044,62,38,16,16,4,2,5,0,0,0,462,289,19,17,3,3,,,2,8,1,0,9,6,5,2,7,6,9,10,0,2,2,0,358,202,21,21,49,51,38,50,20,11,8,9
6802034,56,44,11,7,3,0,8,1,0,0,507,394,16,10,3,2,1,0,0,3,0,0,9,3,2,1,10,3,1,4,0,1,0,1,416,300,31,21,60,40,41,29,24,15,8,13
6802036,34,66,11,15,3,0,4,8,0,0,226,462,16,18,1,2,,,5,4,0,0,2,9,4,2,9,7,2,8,,,0,2,147,388,15,20,56,44,37,34,13,6,14,7
6802038,53,47,15,14,5,2,9,4,0,0,386,349,19,10,3,1,,,2,8,0,0,8,4,5,2,5,5,10,9,2,0,2,2,296,252,24,22,57,43,43,27,11,14,7,15
6802033,49,51,12,14,4,3,5,3,0,0,406,426,12,17,2,1,,,3,4,2,1,6,6,3,4,8,8,4,7,2,1,3,4,316,348,19,32,45,55,33,43,10,9,12,7
6802042,50,50,9,13,4,1,6,3,0,0,290,285,20,20,3,2,1,0,2,4,0,0,4,5,3,4,6,8,3,5,,,0,3,176,183,16,27,56,44,39,35,19,11,7,7
6802032,56,44,11,13,3,2,8,1,0,0,389,299,17,23,2,5,,,4,4,0,0,3,7,4,2,5,6,6,7,,,1,0,291,210,24,26,42,58,38,53,11,15,10,6
6802030,32,68,6,17,6,2,5,9,0,0,261,536,11,25,4,4,,,2,7,0,0,4,7,0,3,2,11,5,6,,,1,3,163,441,24,37,48,52,36,41,16,16,9,4
6802043,31,69,9,15,2,1,7,5,0,0,221,487,16,10,2,4,1,0,4,3,0,0,5,10,0,2,6,7,3,8,1,0,3,1,153,419,10,22,60,40,41,23,14,14,11,12
6802040,57,43,15,11,1,5,7,4,0,0,484,376,19,15,2,2,,,7,1,0,0,6,6,2,4,7,3,8,8,1,1,3,1,402,284,24,17,52,48,41,31,17,22,7,11
6802035,59,41,21,15,3,9,4,2,0,0,514,355,13,9,4,2,,,11,4,0,0,8,8,2,3,13,6,8,9,3,0,4,0,418,261,23,20,59,41,50,34,20,14,11,14
6802046,47,53,19,7,2,2,4,1,0,0,392,413,23,16,0,3,,,4,2,2,0,12,5,3,0,11,3,8,4,3,2,1,2,299,315,18,20,50,50,48,41,14,20,5,12
6802041,50,50,14,15,4,4,8,4,0,0,392,376,12,22,3,3,,,5,5,1,0,5,7,4,3,7,7,7,9,0,1,1,3,284,287,18,18,45,55,40,54,12,10,12,7
6802039,43,57,7,12,2,0,3,9,0,0,344,427,21,17,3,1,,,2,3,0,1,5,7,0,2,5,9,3,4,,,2,3,255,356,20,18,48,52,39,50,18,11,9,8
6802037,59,41,23,7,2,5,12,5,0,0,444,309,10,17,3,4,0,2,6,3,1,0,7,3,10,1,12,6,11,1,,,2,2,391,231,19,19,45,55,37,46,7,8,6,8
6802048,52,48,14,11,2,4,5,4,0,0,352,306,22,15,0,3,,,4,3,0,0,4,7,6,1,8,9,6,2,1,0,3,0,270,226,22,23,54,46,40,41,13,4,10,9
6802045,66,34,17,8,3,2,7,5,0,0,467,238,18,14,2,2,,,4,3,0,0,11,4,2,1,9,4,8,4,1,1,2,3,376,141,34,28,56,44,42,37,18,10,6,16
6802065,36,64,11,21,2,5,3,4,0,0,259,455,14,18,1,2,1,0,7,4,0,0,4,11,0,6,6,12,5,9,,,0,5,155,359,24,24,48,52,42,33,10,24,15,7
6802058,60,40,15,7,0,3,9,4,0,0,437,300,17,15,6,3,1,0,5,2,1,0,4,5,6,0,10,3,5,4,,,6,5,350,195,20,16,55,45,42,34,31,25,6,10
6802063,46,54,10,16,2,1,0,11,0,0,363,382,19,13,1,0,1,1,3,3,0,0,6,7,1,6,5,10,5,6,1,0,1,3,254,281,21,28,51,49,37,40,24,19,13,7
6802049,45,55,11,12,1,6,4,4,0,0,360,442,16,16,2,2,,,6,3,0,0,3,8,2,1,4,8,7,4,,,4,6,273,344,27,20,47,53,37,39,12,16,5,7
6802052,40,60,10,12,4,2,3,5,0,0,278,383,16,21,1,5,,,4,4,0,0,5,7,1,1,8,6,2,6,,,4,1,195,281,23,27,39,61,20,33,14,20,13,7
