position,team,team_id,matches,wins,draws,losses,goals_for,goals_against,goal_diff,points
1,Beşiktaş JK,3050,34,25,4,5,75,35,+40,79
2,Fenerbahçe,3052,34,22,8,4,60,27,+33,74
3,Konyaspor,3085,34,19,9,6,44,33,+11,66
4,Başakşehir FK,3086,34,16,11,7,54,36,+18,59
5,Sincan Belediyesi Ankaraspor,3057,34,14,10,10,52,36,+16,52
6,Galatasaray,3061,34,13,12,9,69,49,+20,51
7,Kasımpaşa,6063,34,14,8,12,50,40,+10,50
8,Akhisarspor,24748,34,11,13,10,42,41,+1,46
9,Antalyaspor,3056,34,12,9,13,53,52,+1,45
10,Gençlerbirliği,7802,34,13,6,15,42,42,0,45
11,Bursaspor,3055,34,13,5,16,47,55,-8,44
12,Trabzonspor,3051,34,12,4,18,40,59,-19,40
13,Çaykur Rizespor,3064,34,9,10,15,39,48,-9,37
14,Gaziantepspor,3060,34,9,9,16,31,50,-19,36
15,Kayserispor,3072,34,7,13,14,25,41,-16,34
16,Sivasspor,3076,34,6,13,15,34,48,-14,31
17,Eskişehirspor,6364,34,8,6,20,39,64,-25,30
18,Mersin İdman Yurdu,3102,34,5,6,23,31,71,-40,21
