match_id,minute,added_time,scorer,scorer_id,assist,assist_id,goal_type,is_home,home_score,away_score
8915390,87,,José Sosa,22981,,,penalty,False,1,2
8915390,76,,Gökhan Gönül,30137,Caner Erkin,15680,regular,False,1,1
8915390,59,,Milan Škoda,23661,Dario Melnjak,257135,regular,True,1,0
8915444,74,,Erik Sabo,156617,,,penalty,True,3,0
8915444,56,,Artur Sobiech,45444,Ramazan Civelek,781408,regular,True,2,0
8915444,3,,Ervin Zukanović,48543,,,regular,True,1,0
8915442,90,,Steven Caulker,73685,Georgios Tzavellas,33000,regular,False,0,2
8915442,21,,Davidson,814334,Efecan Karaca,60510,regular,False,0,1
8915466,53,,André Balada,118815,Güray Vural,43559,regular,False,3,1
8915466,40,,Radamel Falcao,25682,Sofiane Feghouli,37240,regular,True,3,0
8915466,28,,Emre Kılınç,202032,Radamel Falcao,25682,regular,True,2,0
8915466,8,,Radamel Falcao,25682,,,penalty,True,1,0
8915445,71,,Zlatko Tripić,163569,Atınç Nukan,115205,regular,True,5,1
8915445,62,,Oğuz Yılmaz,787955,Tiago Lopes,141028,regular,False,4,1
8915445,50,,Marcio Mossoró,42293,Brown Ideye,37377,regular,True,4,0
8915445,43,,Halil Akbunar,217782,Soner Aydoğdu,69351,regular,True,3,0
8915445,25,,Atınç Nukan,115205,Berkan Emir,344407,regular,True,2,0
8915445,10,,Alpaslan Öztürk,148857,,,penalty,True,1,0
8915487,2,,Zoran Kvržić,117692,Yasir Subaşı,796555,regular,True,1,0
8915450,79,,Oltan Karakullukçu,94875,Ibrahim Sissoko,115647,regular,False,1,2
8915450,75,,Oltan Karakullukçu,94875,Emrah Başsan,174141,regular,False,1,1
8915450,61,,Jonathan Bolingi,827207,,,regular,True,1,0
8915391,77,,Hakan Özmert,43512,Amilton da Silva,803148,regular,True,2,0
8915391,41,,Bünyamin Balcı,967214,Fredy,845281,regular,True,1,0
8915421,86,,Abdülkadir Ömür,826155,Gastón Campi,351824,regular,True,1,3
8915421,74,,Jeremain Lens,18115,Dorukhan Toköz,796133,regular,False,0,3
8915421,64,,Bernard Mensah,546220,,,penalty,False,0,2
8915421,29,,Tyler Boyd,277437,Atiba Hutchinson,7721,regular,False,0,1
8915424,90,1,Hélder Barbosa,32676,Adama Traoré,333239,regular,True,2,0
8915424,36,,Selim Ilgaz,816465,Mame Biram Diouf,22481,regular,True,1,0
8915419,30,,Adem Büyük,60250,,,penalty,True,1,1
8915419,19,,Halil Akbunar,217782,Soner Aydoğdu,69351,regular,False,0,1
8915393,77,,Adam Bareiro,871580,,,regular,True,2,0
8915393,45,5,Adam Bareiro,871580,,,regular,True,1,0
8915443,85,,Gökdeniz Bayrakdar,952564,Fredy,845281,regular,False,1,1
8915443,33,,Cyle Larin,790179,Necip Uysal,43394,regular,True,1,0
8915484,86,,Max Gradel,16590,Hakan Arslan,60646,regular,False,1,2
8915484,82,,Arouna Koné,12790,Erdoğan Yeşilyurt,142541,regular,False,1,1
8915484,70,,Arvydas Novikovas,53787,Emrah Başsan,174141,regular,True,1,0
8915482,60,,Alan Cariús,886093,,,regular,True,2,0
8915482,13,,Kevin Varga,602730,Aytaç Kara,128196,regular,True,1,0
8915370,76,,Younès Belhanda,72999,Ryan Babel,1876,regular,False,0,2
8915370,14,,Radamel Falcao,25682,,,penalty,False,0,1
8915465,90,5,Mevlüt Erdinç,35584,Ervin Zukanović,48543,regular,False,2,2
8915465,59,,André Balada,118815,Muhammet Demir,43543,regular,True,2,1
8915465,53,,Jean-Armel Kana-Biyik,39020,,,regular,True,1,1
8915465,26,,Ervin Zukanović,48543,Enzo Roco,105971,regular,False,0,1
8915381,90,,Erik Sabo,156617,Alassane Ndao,1016033,regular,True,2,0
8915381,47,,Enzo Roco,105971,Mevlüt Erdinç,35584,regular,True,1,0
8915448,90,5,Ibrahim Sissoko,115647,Gabriel Obertan,16511,regular,False,1,3
8915448,83,,Pedro Henrique,219190,,,penalty,True,1,2
8915448,45,4,Arvydas Novikovas,53787,Emrah Başsan,174141,regular,False,0,2
8915448,42,,Rashad Muhammed,878742,,,regular,False,0,1
8915395,90,1,Alexandru Maxim,180511,,,penalty,False,2,2
8915395,61,,Brown Ideye,37377,Marcio Mossoró,42293,regular,True,2,1
8915395,50,,Soner Aydoğdu,69351,Zlatko Tripić,163569,regular,True,1,1
8915395,7,,Muhammet Demir,43543,Güray Vural,43559,regular,False,0,1
8915467,57,,Mame Biram Diouf,22481,Gökhan Karadeniz,580960,regular,True,1,0
8915469,78,,Adem Büyük,60250,,,penalty,False,3,1
8915469,45,3,Anthony Nwakaeme,139455,Flávio,839521,regular,True,3,0
8915469,33,,Benik Afobe,98437,Lewis Baker,190859,regular,True,2,0
8915469,24,,Benik Afobe,98437,Hüseyin Türkmen,913994,regular,True,1,0
8915439,81,,Loïc Rémy,16674,Fernando Boldrin,849787,regular,True,1,1
8915439,69,,Mustafa Pektemek,43643,,,regular,False,0,1
8915416,90,1,Gökhan Töre,88125,,,regular,False,4,1
8915416,83,,Artem Kravets,31838,,,penalty,True,4,0
8915416,78,,Levan Shengelia,363750,Artem Kravets,31838,regular,True,3,0
8915416,63,,Artem Kravets,31838,Deni Milošević,190403,regular,True,2,0
8915416,28,,Levan Shengelia,363750,Ömer Ali Şahiner,103912,regular,True,1,0
8915486,58,,Veysel Sarı,98276,,,regular,True,1,0
8915455,90,3,Alexandru Maxim,180511,,,penalty,True,1,1
8915455,64,,Gastón Campi,351824,João Pereira,13198,regular,False,0,1
8915460,42,,İlhan Parlak,5810,,,regular,False,0,1
8915358,10,,Benjamin Tetteh,796324,Karim Hafez,577736,regular,True,1,0
8915387,78,,Erik Sabo,156617,,,penalty,False,2,1
8915387,67,,Mbwana Ally Samatta,825088,José Sosa,22981,regular,True,2,0
8915387,24,,Mbwana Ally Samatta,825088,Caner Erkin,15680,regular,True,1,0
8915435,77,,Davidson,814334,Khouma Babacar,88697,regular,True,6,0
8915435,67,,Davidson,814334,,,regular,True,5,0
8915435,45,2,François Moubandje,106869,Davidson,814334,regular,True,4,0
8915435,34,,Adam Bareiro,871580,Efecan Karaca,60510,regular,True,3,0
8915435,23,,Davidson,814334,,,regular,True,2,0
8915435,18,,Anastasios Bakasetas,114076,,,regular,True,1,0
8915422,8,,Bogdan Stancu,22547,Dominik Furman,187061,regular,False,0,1
8915353,45,2,Yusuf Erdoğan,256663,Aytaç Kara,128196,regular,True,1,0
8915380,78,,Loïc Rémy,16674,Fabricio Baiano,329469,regular,True,5,3
8915380,62,,Loïc Rémy,16674,,,penalty,True,4,3
8915380,55,,Loïc Rémy,16674,,,penalty,True,3,3
8915380,45,1,Fernando Boldrin,849787,,,regular,True,2,3
8915380,43,,Torgeir Børven,381820,Tiago Pinto,44627,regular,False,1,3
8915380,19,,Fernando Andrade,268821,Abdullah Durak,42224,regular,True,1,2
8915380,16,,Joseph Paintsil,901285,,,regular,False,0,2
8915380,6,,Joseph Paintsil,901285,Saba Lobjanidze,286923,regular,False,0,1
8915480,83,,Fayçal Fajr,143786,Olarenwaju Kayode,799559,regular,False,1,3
8915480,60,,Mustapha Yatabaré,51558,,,regular,False,1,2
8915480,52,,Wilfried Kanga,838640,Campanharo,220094,regular,True,1,1
8915480,28,,Ziya Erdal,138312,,,regular,False,0,1
8915461,83,,Artem Kravets,31838,Nejc Skubic,41240,regular,True,1,1
8915461,58,,Zeki Yavru,140735,Christian Cueva,47447,regular,False,0,1
8915339,54,,Edin Višća,109779,Deniz Türüç,252207,regular,False,0,2
8915339,32,,İrfan Can Kahveci,226986,,,regular,False,0,1
8915365,70,,Furkan Soyalp,226992,Cenk Şahin,135694,regular,False,1,1
8915365,3,,Sidney Sam,18892,Amilton da Silva,803148,regular,True,1,0
8915368,47,,Aytaç Kara,128196,Haris Hajradinović,254979,regular,False,1,1
8915368,45,2,Artur Sobiech,45444,Jure Balkovec,171625,regular,True,1,0
8915367,63,,Guilherme Marques,109610,Halil Akbunar,217782,regular,True,2,3
8915367,51,,Dimitrios Pelkas,139304,,,regular,False,1,3
8915367,43,,Serdar Aziz,43528,Caner Erkin,15680,regular,False,1,2
8915367,34,,Guilherme Marques,109610,,,penalty,True,1,1
8915367,26,,José Sosa,22981,,,penalty,False,0,1
8915388,90,5,Davidson,814334,Berkan Kutlu,992912,regular,False,1,2
8915388,43,,Khouma Babacar,88697,,,regular,False,1,1
8915388,34,,Radamel Falcao,25682,,,penalty,True,1,0
8915468,90,,Daniel Candeias,41835,Floyd Ayité,51377,regular,True,1,2
8915468,45,1,Hugo Rodallega,15668,Recep Niyaz,116944,regular,False,0,2
8915468,22,,Neven Subotić,16180,Ángelo Sagal,588784,regular,False,0,1
9161642,58,,Babajide David Akintola,798676,Mame Biram Diouf,22481,regular,True,3,0
9161642,47,,Osman Çelik,758656,,,ownGoal,True,2,0
9161642,40,,Mame Biram Diouf,22481,,,regular,True,1,0
8915337,75,,Muhammet Demir,43543,Cenk Şahin,135694,regular,True,1,0
8915372,83,,Giuliano,90862,,,regular,True,5,1
8915372,35,,Enzo Crivelli,380974,Demba Ba,28253,regular,True,4,1
8915372,27,,İrfan Can Kahveci,226986,Edin Višća,109779,regular,True,3,1
8915372,23,,Edin Višća,109779,,,regular,True,2,1
8915372,14,,Lukas Podolski,1367,Mert Yilmaz,881966,regular,False,1,1
8915372,11,,Edin Višća,109779,,,penalty,True,1,0
8915340,64,,Radamel Falcao,25682,Ryan Babel,1876,regular,False,1,2
8915340,45,,Arvydas Novikovas,53787,,,penalty,True,1,1
8915340,20,,Emre Kılınç,202032,Radamel Falcao,25682,regular,False,0,1
8915344,53,,Kubilay Kanatsızkuş,828953,Zeki Yavru,140735,regular,True,2,1
8915344,24,,Semih Kaya,47599,Karim Hafez,577736,regular,True,1,1
8915344,10,,Murat Yildirim,60641,Daniel Candeias,41835,regular,False,0,1
8915454,81,,Khouma Babacar,88697,Anastasios Bakasetas,114076,regular,True,2,0
8915454,8,,Davidson,814334,Steven Caulker,73685,regular,True,1,0
8915488,72,,Papiss Demba Cissé,8978,,,regular,True,3,1
8915488,55,,Enner Valencia,106456,Papiss Demba Cissé,8978,regular,True,2,1
8915488,51,,Serkan Asan,952726,,,ownGoal,True,1,1
8915488,23,,Benik Afobe,98437,,,regular,False,0,1
8915374,90,4,Hadi Sacko,250509,Tiago Lopes,141028,regular,True,2,3
8915374,76,,Muris Mešanovič,45768,Özer Özdemir,806957,regular,True,1,3
8915374,48,,Cyle Larin,790179,,,regular,False,0,3
8915374,39,,Vincent Aboubakar,116869,,,penalty,False,0,2
8915374,13,,Atiba Hutchinson,7721,Vincent Aboubakar,116869,regular,False,0,1
8915341,90,1,Loïc Rémy,16674,Dušan Jovančić,267523,regular,False,0,2
8915341,3,,Fabricio Baiano,329469,Emir Dilaver,66171,regular,False,0,1
9220891,89,,Joseph Paintsil,901285,,,regular,True,2,0
9220891,69,,Zvonimir Šarlija,796662,Emre Güral,37705,regular,True,1,0
8915347,90,1,Erik Sabo,156617,Brahim Darri,164581,regular,True,5,1
8915347,90,,Ricardo Gomes,344195,Leo Schwechlen,158575,regular,False,4,1
8915347,71,,Alassane Ndao,1016033,Erik Sabo,156617,regular,True,4,0
8915347,45,4,Badou Ndiaye,228342,Lucas Biglia,17799,regular,True,3,0
8915347,28,,Lucas Biglia,17799,,,penalty,True,2,0
8915347,11,,Badou Ndiaye,228342,Alassane Ndao,1016033,regular,True,1,0
8915331,90,3,Bengali-Fodé Koita,51407,Ahmet Oğuz,603902,regular,False,3,4
8915331,87,,Edgar Ié,235458,,,ownGoal,False,3,3
8915331,41,,Yusuf Erdoğan,256663,,,regular,False,3,2
8915331,38,,Anthony Nwakaeme,139455,Lewis Baker,190859,regular,True,3,1
8915331,31,,Anthony Nwakaeme,139455,Abdülkadir Ömür,826155,regular,True,2,1
8915331,23,,Serkan Asan,952726,Anthony Nwakaeme,139455,regular,True,1,1
8915331,8,,Mickael Tirpan,800340,,,regular,False,0,1
8915324,56,,Daniel Candeias,41835,Pierre-Yves Polomat,222412,regular,True,1,1
8915324,17,,Alexandru Maxim,180511,,,penalty,False,0,1
8915350,45,2,Ryan Babel,1876,Marcelo Saracchi,796444,regular,True,1,0
8915346,33,,Loïc Rémy,16674,Fabricio Baiano,329469,regular,True,1,0
8915325,69,,Artem Kravets,31838,,,regular,True,1,2
8915325,58,,Danijel Aleksić,45377,Martin Škrtel,12394,regular,False,0,2
8915325,45,,Marko Jevtović,310068,,,ownGoal,False,0,1
8915351,55,,Cyle Larin,790179,Rachid Ghezzal,123228,regular,True,1,0
8915360,84,,Diego Perotti,47171,,,penalty,False,1,2
8915360,52,,Lukas Podolski,1367,Dever Orgill,323549,regular,True,1,1
8915360,49,,Ozan Tufan,251907,Enner Valencia,106456,regular,False,0,1
8915473,8,,Babajide David Akintola,798676,Selim Ilgaz,816465,regular,True,1,1
8915473,6,,Max Gradel,16590,Uğur Çiftçi,142850,regular,False,0,1
9161643,70,,Zlatko Tripić,163569,Halil Akbunar,217782,regular,True,1,0
8915327,90,8,Kenan Özer,146364,Güray Vural,43559,regular,True,3,1
8915327,63,,Muhammet Demir,43543,Oğuz Ceylan,152758,regular,True,2,1
8915327,61,,Cyle Larin,790179,Valentin Rosier,842419,regular,False,1,1
8915327,44,,Kevin Mirallas,3593,,,regular,True,1,0
8915332,90,2,Sidney Sam,18892,,,regular,False,2,2
8915332,72,,Veysel Sarı,98276,Nuri Şahin,21881,regular,False,2,1
8915332,65,,Armin Hodžić,138127,Haris Hajradinović,254979,regular,True,2,0
8915332,8,,Bengali-Fodé Koita,51407,Yusuf Erdoğan,256663,regular,True,1,0
