position,team,team_id,matches,wins,draws,losses,goals_for,goals_against,goal_diff,points
1,Beşiktaş JK,3050,40,26,6,8,89,44,+45,84
2,Galatasaray,3061,40,26,6,8,80,36,+44,84
3,Fenerbahçe,3052,40,25,7,8,72,41,+31,82
4,Trabzonspor,3051,40,19,14,7,50,37,+13,71
5,Sivasspor,3076,40,16,17,7,54,43,+11,65
6,Hatayspor,3091,40,17,10,13,62,53,+9,61
7,Alanyaspor,6362,40,17,9,14,58,45,+13,60
8,Fatih Karagümrük,4954,40,16,12,12,64,52,+12,60
9,Gaziantep FK,5138,40,15,13,12,59,51,+8,58
10,Göztepe,3054,40,13,12,15,59,59,0,51
11,Konyaspor,3085,40,12,14,14,49,48,+1,50
12,Başakşehir FK,3086,40,12,12,16,43,55,-12,48
13,Çaykur Rizespor,3064,40,12,12,16,53,69,-16,48
14,Kasımpaşa,6063,40,12,10,18,47,57,-10,46
15,Yeni Malatyaspor,24759,40,10,15,15,49,53,-4,45
16,Antalyaspor,3056,40,9,17,14,41,55,-14,44
17,Kayserispor,3072,40,9,14,17,35,52,-17,41
18,Erzurumspor FK,55603,40,10,10,20,44,68,-24,40
19,MKE Ankaragücü,3103,40,10,8,22,46,65,-19,38
20,Gençlerbirliği,7802,40,10,8,22,44,76,-32,38
21,Denizlispor,3058,40,6,10,24,38,77,-39,28
