match_id,home_ballpossession,away_ballpossession,home_bigchancecreated,away_bigchancecreated,home_totalshotsongoal,away_totalshotsongoal,home_goalkeepersaves,away_goalkeepersaves,home_cornerkicks,away_cornerkicks,home_fouls,away_fouls,home_passes,away_passes,home_totaltackle,away_totaltackle,home_freekicks,away_freekicks,home_yellowcards,away_yellowcards,home_shotsongoal,away_shotsongoal,home_hitwoodwork,away_hitwoodwork,home_shotsoffgoal,away_shotsoffgoal,home_blockedscoringattempt,away_blockedscoringattempt,home_totalshotsinsidebox,away_totalshotsinsidebox,home_totalshotsoutsidebox,away_totalshotsoutsidebox,home_bigchancescored,away_bigchancescored,home_bigchancemissed,away_bigchancemissed,home_fouledfinalthird,away_fouledfinalthird,home_offsides,away_offsides,home_accuratepasses,away_accuratepasses,home_throwins,away_throwins,home_finalthirdentries,away_finalthirdentries,home_accuratelongballs,away_accuratelongballs,home_accuratecross,away_accuratecross,home_duelwonpercent,away_duelwonpercent,home_dispossessed,away_dispossessed,home_groundduelspercentage,away_groundduelspercentage,home_aerialduelspercentage,away_aerialduelspercentage,home_dribblespercentage,away_dribblespercentage,home_wontacklepercent,away_wontacklepercent,home_interceptionwon,away_interceptionwon,home_totalclearance,away_totalclearance,home_goalkicks,away_goalkicks,home_accuratethroughball,away_accuratethroughball,home_redcards,away_redcards
8915360,40,60,0,8,5,28,6,1,0,12,11,14,336,476,20,11,14,10,2,3,2,11,0,3,3,12,0,5,2,19,3,9,0,1,0,7,1,3,0,2,243,415,14,21,50,55,25,37,1,15,54,46,10,7,42,34,26,24,8,14,12,8,10,18,29,8,15,5,,,1,1
8915473,53,47,2,2,10,7,3,3,2,2,14,7,499,441,11,8,6,14,4,2,4,4,2,0,5,1,1,2,9,3,1,4,0,1,2,1,2,2,2,2,422,363,11,15,51,59,25,26,6,1,55,45,4,7,28,29,19,10,11,7,3,6,9,4,21,9,3,7,0,1,1,0
9161643,35,65,5,1,9,17,4,3,4,6,15,17,271,502,12,16,15,15,2,3,5,4,0,0,3,7,1,6,7,9,2,8,,,5,1,3,3,3,2,182,415,17,21,38,51,18,23,5,7,38,62,10,10,31,41,7,22,4,11,6,8,10,5,17,9,8,7,1,0,,
8915327,31,69,3,1,8,9,2,3,5,2,22,8,247,567,24,15,6,19,2,1,6,3,0,1,1,5,1,1,5,4,3,5,2,1,1,0,1,2,0,1,169,480,28,25,51,80,34,35,2,5,47,53,11,21,41,40,13,21,12,7,11,10,10,11,18,10,9,4,,,0,1
8915332,48,52,4,2,16,11,2,2,3,7,19,14,444,476,25,16,14,18,3,0,4,4,0,0,11,4,1,3,13,7,3,4,1,0,3,2,3,6,5,2,377,397,18,9,55,64,42,27,4,6,50,50,9,21,42,40,10,11,4,6,17,12,12,13,24,13,5,15,,,,
8915322,63,37,1,2,9,7,4,4,8,8,17,13,520,304,24,23,12,16,2,3,4,5,0,0,4,2,1,0,5,6,4,1,1,0,0,2,4,0,1,1,446,226,22,20,64,43,30,19,5,6,52,48,18,18,48,44,18,18,12,6,14,15,8,7,16,24,7,6,0,1,,
8915334,54,46,2,2,13,11,2,2,9,6,10,11,447,375,9,17,10,10,2,0,3,3,0,1,6,8,4,0,10,5,3,6,1,1,1,1,2,4,0,1,376,290,18,19,57,56,26,23,6,2,38,62,7,6,21,36,9,13,2,9,4,10,8,8,20,16,15,10,,,1,0
8915371,52,48,1,2,13,12,3,2,13,4,15,14,454,441,11,16,12,10,2,3,2,5,1,0,5,4,6,3,9,3,4,9,0,1,1,1,1,2,1,1,369,348,24,22,79,38,28,32,3,2,53,47,9,8,33,31,18,14,10,6,6,10,12,16,6,35,6,15,0,1,,
8915330,42,58,4,1,14,14,1,3,10,3,16,16,339,489,17,18,15,15,5,3,5,3,1,1,7,7,2,4,10,8,4,6,2,1,2,0,4,4,1,1,247,394,26,23,67,56,20,27,6,4,47,53,12,8,34,39,23,26,4,8,10,11,12,12,17,17,11,6,0,1,,
8915472,30,70,2,1,9,22,3,5,2,9,20,13,241,545,18,14,13,19,1,2,7,3,0,1,2,9,0,10,3,12,6,10,2,0,0,1,1,4,0,1,164,470,15,25,37,70,19,16,1,6,51,49,9,11,45,44,17,16,14,11,15,11,13,10,25,6,13,5,,,,
