match_id,minute,added_time,player,player_id,card_type,is_home
8310808,90,2,Cristian Săpunaru,18793,yellow,True
8310808,77,,Younès Belhanda,72999,yellow,False
8310808,69,,Mariano,40076,yellow,False
8310808,45,5,Zeki Yavru,140735,yellow,True
8310808,43,,Marcão,840951,yellowRed,False
8310808,34,,Marcão,840951,yellow,False
8310808,28,,Ryan Babel,1876,yellow,False
8310808,28,,Tiago Lopes,141028,yellow,True
8310808,26,,Oğuz Yılmaz,787955,yellow,True
8310840,89,,Braian Samudio,892933,yellow,False
8310840,86,,Rahmetullah Berisbek,921402,yellow,True
8310840,74,,Daniel Candeias,41835,yellow,True
8310840,69,,Nill De Pauw,46009,yellow,False
8310840,39,,Flávio Ramos,335813,yellowRed,True
8310840,36,,Flávio Ramos,335813,yellow,True
8310844,90,5,Bernard Mensah,546220,yellow,True
8310844,87,,Papiss Demba Cissé,8978,yellow,False
8310844,80,,Pedro Henrique,219190,yellow,True
8310844,77,,Aymen Abdennour,105614,yellow,True
8310844,19,,Atila Turan,88617,yellow,True
8310804,70,,Hakan Arslan,60646,yellow,True
8310804,65,,Caner Erkin,15680,yellow,False
8310804,63,,Isaac Cofie,45926,yellow,True
8310804,45,6,Adem Ljajić,39587,yellow,False
8310804,45,5,Tyler Boyd,277437,yellow,False
8310804,44,,Mert Hakan Yandaş,856849,yellow,True
8310804,24,,Ziya Erdal,138312,yellow,True
8310815,90,4,Ricardo Faty,9421,yellow,False
8310815,24,,İlhan Parlak,5810,yellow,False
8310813,80,,Lamine Gassama,40698,yellow,True
8310813,64,,Ondřej Čelůstka,45764,yellow,False
8310813,55,,André Poko,177103,yellow,True
8310813,34,,Hakan Özmert,43512,yellow,False
8310813,22,,Titi,243435,yellow,True
8310813,-5,,Ferhat Kaplan,81949,yellow,False
8310842,90,,Jorge Fernandes,814673,yellow,True
8310842,3,,Haris Hajradinović,254979,yellow,True
8310825,67,,İrfan Can Kahveci,226986,yellowRed,False
8310825,60,,Robin Yalçın,138154,yellow,True
8310825,59,,İrfan Can Kahveci,226986,yellow,False
8310825,48,,Murat Yildirim,60641,yellow,True
8310825,45,1,Ghayléne Chaaleli,898740,yellow,True
8310827,90,2,Vedat Muriqi,310874,yellow,True
8310827,90,1,Souleymane Diarra,831004,yellow,False
8310827,80,,Jefferson Junior,552142,yellow,False
8310827,50,,Abdul Aziz Tetteh,141632,yellow,False
8310827,12,,Raman Chibsah,260065,yellow,False
8310847,73,,Víctor Ruiz,82400,yellow,True
8310847,72,,André Poko,177103,yellow,False
8310822,90,4,Stelios Kitsiou,189627,yellow,True
8310822,77,,Dever Orgill,323549,yellow,True
8310822,43,,Atila Turan,88617,yellow,False
8310822,38,,Aydin Karabulut,18862,yellow,True
8310838,89,,Mustafa Pektemek,43643,yellow,False
8310838,78,,Karim Hafez,577736,yellow,False
8310838,67,,Papiss Demba Cissé,8978,yellow,True
8310838,61,,Efecan Karaca,60510,yellow,True
8310838,56,,Fabrice N'Sakala,123387,yellow,True
8310838,45,7,Abdulrahman Khalili,109970,yellow,False
8310838,31,,Mame Thiam,180981,yellow,False
8310838,19,,Welinton,76529,yellow,True
8310848,90,6,Adis Jahović,55367,yellow,False
8310848,66,,Erkan Kaş,94868,yellow,False
8310848,19,,José Sosa,22981,yellow,True
8310841,90,2,Joseph Attamah,332963,yellow,True
8310841,81,,Oğulcan Çağlayan,387050,yellow,True
8310841,65,,Emre Kılınç,202032,yellow,False
8310841,52,,Aaron Appindangoyé,785850,yellow,False
8310849,81,,Ismail Aissati,10675,yellow,False
8310849,81,,Ufuk Akyol,859546,yellow,True
8310849,52,,Modou Barrow,209098,yellow,False
8310849,43,,Zeki Yavru,140735,yellow,False
8310823,87,,Adem Büyük,60250,yellow,True
8310823,77,,Ferhat Öztorun,17796,yellow,False
8310823,75,,Jean Michaël Seri,305282,red,True
8310823,50,,Ali Turan,5813,yellow,False
8310823,14,,Erdon Daci,889761,yellow,False
8310803,45,4,Papy Djilobodji,106661,yellow,True
8310803,40,,Zargo Touré,51623,yellow,False
8310803,38,,Pierre-Yves Polomat,222412,red,False
8310803,27,,Ahmet Oğuz,603902,red,False
8310837,90,4,Zaur Sadayev,48744,yellow,False
8310837,83,,Ricardo Faty,9421,yellow,False
8310837,76,,Tiago Pinto,44627,yellow,False
8310837,45,4,İlhan Parlak,5810,yellow,False
8310837,41,,Karim Hafez,577736,yellow,True
8310837,39,,Aydin Karabulut,18862,yellow,False
8310843,90,5,Umut Bulut,5275,yellowRed,True
8310843,90,4,Umut Bulut,5275,yellow,True
8310843,89,,Emre Mor,826258,yellowRed,False
8310843,89,,Emre Mor,826258,yellow,False
8310843,79,,Marcão,840951,yellow,False
8310843,75,,Ömer Bayram,68335,yellow,False
8310843,73,,Pedro Henrique,219190,yellowRed,True
8310843,70,,Pedro Henrique,219190,yellow,True
8310843,69,,Mariano,40076,yellow,False
8310843,69,,Bernard Mensah,546220,yellow,True
8310843,65,,Aymen Abdennour,105614,yellowRed,True
8310843,54,,Aymen Abdennour,105614,yellow,True
8310843,34,,Brice Dja Djédjé,120420,yellow,True
8310843,34,,Younès Belhanda,72999,yellow,False
8310826,90,2,Ömer Ali Şahiner,103912,yellow,True
8310826,90,,Ruud Boffin,15039,yellow,False
8310826,84,,Marko Jevtović,310068,yellow,True
8310826,58,,Gustavo Blanco,174525,yellow,False
8310845,90,3,Georges-Kévin N'Koudou,342909,yellow,True
8310845,90,3,Pedro Rebocho,190139,yellow,True
8310845,74,,Adem Ljajić,39587,yellow,True
8310845,58,,Mykola Morozyuk,39567,yellow,False
8310845,56,,Dorukhan Toköz,796133,yellow,True
8310845,7,,Jeremain Lens,18115,yellow,True
8310816,90,4,Adam Stachowiak,45016,yellow,False
8310816,85,,Eren Derdiyok,21943,yellow,True
8310816,73,,Tiago Lopes,141028,yellowRed,False
8310816,66,,André Castro,41652,yellow,True
8310816,38,,Tiago Lopes,141028,yellow,False
8310816,19,,Titi,243435,yellow,True
8310816,10,,Zakarya Bergdich,140088,yellow,False
8310810,88,,Halil Ibrahim Pehlivan,777291,yellow,True
8310810,82,,Zargo Touré,51623,yellow,True
8310810,78,,Soner Dikmen,847782,yellow,True
8310810,45,5,Berat Ayberk Özdemir,876857,yellow,True
8310810,45,2,Arda Turan,5702,yellow,False
8310810,42,,Fabricio Baiano,329469,yellow,True
8310810,16,,Enzo Crivelli,380974,yellow,False
8310814,90,4,Kenan Özer,146364,yellow,False
8310814,76,,Patrick Twumasi,227188,yellow,False
8310814,70,,Günay Güvenç,103457,yellow,False
