match_id,home_ballpossession,away_ballpossession,home_bigchancecreated,away_bigchancecreated,home_totalshotsongoal,away_totalshotsongoal,home_goalkeepersaves,away_goalkeepersaves,home_cornerkicks,away_cornerkicks,home_fouls,away_fouls,home_passes,away_passes,home_totaltackle,away_totaltackle,home_freekicks,away_freekicks,home_yellowcards,away_yellowcards,home_redcards,away_redcards,home_shotsongoal,away_shotsongoal,home_hitwoodwork,away_hitwoodwork,home_shotsoffgoal,away_shotsoffgoal,home_blockedscoringattempt,away_blockedscoringattempt,home_totalshotsinsidebox,away_totalshotsinsidebox,home_totalshotsoutsidebox,away_totalshotsoutsidebox,home_bigchancemissed,away_bigchancemissed,home_fouledfinalthird,away_fouledfinalthird,home_offsides,away_offsides,home_accuratepasses,away_accuratepasses,home_throwins,away_throwins,home_finalthirdentries,away_finalthirdentries,home_accuratelongballs,away_accuratelongballs,home_accuratecross,away_accuratecross,home_duelwonpercent,away_duelwonpercent,home_dispossessed,away_dispossessed,home_groundduelspercentage,away_groundduelspercentage,home_aerialduelspercentage,away_aerialduelspercentage,home_dribblespercentage,away_dribblespercentage,home_wontacklepercent,away_wontacklepercent,home_interceptionwon,away_interceptionwon,home_totalclearance,away_totalclearance,home_goalkicks,away_goalkicks,home_bigchancescored,away_bigchancescored,home_accuratethroughball,away_accuratethroughball
8310933,66,34,1,2,19,9,1,2,5,9,15,10,608,310,20,13,9,15,1,4,,,4,2,0,1,10,3,5,4,11,6,8,3,0,1,1,4,1,2,541,231,17,13,49,34,17,25,10,4,63,37,8,16,52,32,20,10,23,6,13,9,8,15,17,22,5,13,1,1,,
8310895,62,38,4,0,15,8,2,2,5,2,14,14,580,360,10,15,13,14,1,4,0,1,8,2,1,0,5,3,2,3,11,3,4,5,2,0,2,2,3,1,519,291,15,15,53,50,18,24,7,2,46,54,10,8,38,38,7,14,17,9,6,5,7,9,18,16,2,7,2,0,,
8310907,66,34,1,3,14,11,3,5,14,5,5,21,551,293,15,17,18,4,2,6,0,1,7,5,0,0,5,4,2,2,9,6,5,5,0,2,5,1,2,1,465,210,21,16,87,46,26,26,7,3,54,46,8,11,39,29,24,24,7,9,10,12,7,12,13,37,5,11,1,1,1,1
8310904,57,43,3,1,13,13,3,3,4,0,18,15,518,382,13,20,15,14,1,1,,,5,3,0,0,6,7,2,3,8,8,5,5,1,1,1,2,1,1,442,308,16,22,45,52,28,21,5,5,49,51,17,7,36,44,20,14,8,11,7,14,13,12,12,14,9,5,2,0,1,0
8310921,56,44,2,2,16,9,2,3,10,2,11,10,408,320,17,14,8,11,3,2,,,4,2,1,1,8,6,4,1,9,6,7,3,1,2,3,4,3,3,330,249,16,15,55,59,30,31,3,5,49,51,8,13,39,34,10,16,14,10,17,10,7,11,14,19,6,10,1,0,,
8310922,63,37,3,2,25,11,1,4,12,3,18,16,447,272,11,15,15,16,5,6,0,1,5,2,0,1,10,7,10,2,14,7,11,4,2,1,4,4,2,1,368,190,19,24,43,47,40,26,9,3,50,50,7,5,38,38,20,21,12,9,5,8,12,12,16,29,8,7,1,1,,
8310929,49,51,2,3,6,16,2,2,4,7,22,20,419,428,18,14,18,21,3,1,1,0,2,4,0,0,2,9,2,3,2,12,4,4,1,2,2,2,,,304,318,24,20,73,51,17,21,1,11,47,53,9,10,43,46,18,24,9,12,11,11,11,13,19,16,12,3,1,1,,
8310928,59,41,5,1,30,7,1,6,6,7,14,18,434,295,22,18,15,11,0,1,,,8,1,0,0,17,3,5,3,21,6,9,1,3,1,2,1,,,358,211,14,27,52,52,33,27,7,6,62,38,5,12,53,33,23,14,16,4,14,8,7,17,18,21,10,18,2,0,,
8310925,69,31,2,4,11,11,3,2,8,4,11,15,562,260,10,12,15,10,2,2,,,2,6,0,0,6,3,3,2,8,5,3,6,2,1,4,1,1,2,477,176,26,24,73,57,45,19,5,0,54,46,10,4,38,27,18,20,14,5,6,6,7,9,8,29,4,13,0,3,1,3
8310923,43,57,4,2,12,11,2,5,5,4,15,14,342,449,13,14,13,15,4,4,,,7,4,0,0,5,3,0,4,10,7,2,4,2,1,3,2,2,4,263,368,21,20,38,69,20,20,6,4,44,56,7,5,34,39,8,15,8,10,8,9,7,10,15,21,9,5,2,1,,
