position,team,team_id,matches,wins,draws,losses,goals_for,goals_against,goal_diff,points
1,Başakşehir FK,3086,34,20,9,5,65,34,+31,69
2,Trabzonspor,3051,34,18,11,5,76,42,+34,65
3,Beşiktaş JK,3050,34,19,5,10,59,40,+19,62
4,Sivasspor,3076,34,17,9,8,55,38,+17,60
5,Alanyaspor,6362,34,16,9,9,61,37,+24,57
6,Galatasaray,3061,34,15,11,8,55,37,+18,56
7,Fenerbahçe,3052,34,15,8,11,58,46,+12,53
8,Gaziantep FK,5138,34,11,13,10,49,50,-1,46
9,Antalyaspor,3056,34,11,12,11,41,52,-11,45
10,Kasımpaşa,6063,34,12,7,15,53,58,-5,43
11,Göztepe,3054,34,11,9,14,44,49,-5,42
12,Gençlerbirliği,7802,34,9,9,16,39,56,-17,36
13,Konyaspor,3085,34,8,12,14,36,52,-16,36
14,Denizlispor,3058,34,9,8,17,31,48,-17,35
15,Çaykur Rizespor,3064,34,10,5,19,38,57,-19,35
16,Yeni Malatyaspor,24759,34,8,8,18,44,51,-7,32
17,Kayserispor,3072,34,8,8,18,40,72,-32,32
18,MKE Ankaragücü,3103,34,7,11,16,31,56,-25,32
