match_id,home_ballpossession,away_ballpossession,home_goalkeepersaves,away_goalkeepersaves,home_cornerkicks,away_cornerkicks,home_fouls,away_fouls,home_freekicks,away_freekicks,home_yellowcards,away_yellowcards,home_redcards,away_redcards,home_shotsongoal,away_shotsongoal,home_shotsoffgoal,away_shotsoffgoal,home_offsides,away_offsides,home_throwins,away_throwins,home_goalkicks,away_goalkicks,home_bigchancecreated,away_bigchancecreated,home_totalshotsongoal,away_totalshotsongoal,home_passes,away_passes,home_totaltackle,away_totaltackle,home_hitwoodwork,away_hitwoodwork,home_blockedscoringattempt,away_blockedscoringattempt,home_totalshotsinsidebox,away_totalshotsinsidebox,home_totalshotsoutsidebox,away_totalshotsoutsidebox,home_bigchancescored,away_bigchancescored,home_fouledfinalthird,away_fouledfinalthird,home_accuratepasses,away_accuratepasses,home_finalthirdentries,away_finalthirdentries,home_accuratelongballs,away_accuratelongballs,home_accuratecross,away_accuratecross,home_duelwonpercent,away_duelwonpercent,home_dispossessed,away_dispossessed,home_groundduelspercentage,away_groundduelspercentage,home_aerialduelspercentage,away_aerialduelspercentage,home_dribblespercentage,away_dribblespercentage,home_wontacklepercent,away_wontacklepercent,home_interceptionwon,away_interceptionwon,home_ballrecovery,away_ballrecovery,home_totalclearance,away_totalclearance,home_bigchancemissed,away_bigchancemissed,home_accuratethroughball,away_accuratethroughball
5722310,47,53,6,4,6,6,26,11,12,28,4,3,0,2,3,7,8,9,2,1,20,14,15,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5722338,53,47,3,3,9,3,16,15,18,18,3,0,0,0,3,5,3,7,2,3,19,18,10,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5722332,54,46,2,5,4,3,15,19,22,15,1,1,0,0,6,3,5,2,0,3,34,28,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5722328,47,53,6,4,3,6,21,24,26,21,2,4,0,0,4,10,6,5,0,2,20,10,7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5722324,53,47,2,5,4,2,16,23,24,18,2,2,0,0,7,4,1,2,2,1,24,26,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5722330,53,47,4,3,9,0,17,15,15,22,,,,,6,5,3,2,5,0,29,23,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5722336,52,48,1,9,7,1,15,14,15,15,5,2,0,0,11,3,4,4,0,1,23,26,9,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5722326,53,47,2,2,3,2,20,19,22,25,1,4,0,0,5,3,3,6,5,3,20,24,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5722334,49,51,4,2,3,4,10,19,20,14,2,5,0,1,3,7,2,4,4,1,24,21,8,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5722322,47,53,2,5,6,5,14,18,21,15,3,5,0,0,7,3,8,7,1,3,23,31,8,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5722352,38,62,7,2,5,5,11,19,22,12,,,,,4,8,6,8,1,3,25,22,12,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5722346,45,55,1,1,4,8,21,18,18,27,,,,,2,2,5,9,6,0,24,24,17,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5722356,60,40,0,4,6,3,21,12,19,21,,,,,8,1,8,5,0,7,27,15,12,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5722350,53,47,4,1,4,9,13,13,13,15,,,,,5,4,4,6,2,0,10,30,12,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5722340,46,54,4,3,5,3,22,14,16,23,,,,,3,6,9,6,1,2,22,23,9,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5722344,53,47,0,3,2,3,21,24,25,27,,,,,5,0,7,6,6,1,22,25,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5722348,57,43,1,4,9,3,15,14,15,16,,,,,6,3,8,6,1,1,18,14,10,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5722354,45,55,0,5,5,5,26,18,26,28,4,3,0,1,7,2,4,5,2,8,11,24,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5722342,54,46,5,3,6,9,20,15,17,21,4,3,0,0,7,6,5,3,1,2,20,28,9,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5722368,55,45,5,1,4,6,21,11,13,21,2,1,0,1,3,5,3,6,0,2,18,13,10,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5722362,52,48,3,3,4,4,25,13,14,26,6,1,0,0,4,3,3,5,1,1,25,34,9,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5722358,45,55,2,0,5,7,6,21,25,8,2,3,0,0,0,3,2,4,2,4,31,26,14,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5722366,53,47,1,2,5,2,11,15,18,11,1,6,0,0,4,3,9,0,0,3,23,20,5,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5722360,55,45,6,3,4,3,19,18,21,23,4,4,0,0,8,6,5,6,4,3,19,17,10,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5722374,55,45,2,2,9,3,17,24,29,23,2,4,0,0,2,6,7,5,6,5,35,24,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5722372,57,43,1,2,7,3,12,20,22,13,5,2,0,0,2,2,6,3,1,2,25,26,6,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5722364,48,52,1,2,5,5,23,13,17,26,2,5,0,0,5,1,4,2,3,4,27,33,8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5722370,54,46,1,7,8,3,12,15,17,13,1,4,1,0,8,3,11,6,1,2,16,21,10,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5722382,54,46,2,2,5,3,21,9,9,27,2,1,0,0,6,2,7,6,6,0,15,23,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5722376,65,35,2,11,14,2,19,12,12,19,3,3,0,0,12,3,7,4,,,18,15,5,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5722386,55,45,0,6,2,2,13,25,25,15,1,3,0,0,7,1,6,1,2,0,23,26,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5722390,46,54,0,4,6,2,14,14,11,14,5,2,,,5,0,4,5,2,5,15,24,11,9,4,1,12,5,394,467,13,18,0,0,3,0,9,3,3,2,1,0,2,4,293,377,73,63,34,52,3,4,45,55,16,9,27,37,13,12,4,6,12,17,12,9,40,52,15,10,3,1,1,0
5722384,47,53,4,8,4,6,14,9,11,17,3,0,0,0,8,8,5,2,3,2,20,14,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5722380,54,46,5,1,3,1,25,18,19,27,4,6,1,2,4,7,8,5,2,1,31,21,8,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5722392,53,47,9,7,4,5,18,16,16,19,0,2,0,0,9,11,7,5,1,0,28,22,6,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5722388,46,54,4,2,4,3,22,17,21,23,4,5,0,0,2,5,5,9,1,4,21,26,13,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5722378,53,47,4,5,5,7,16,25,24,16,2,3,,,7,6,3,6,2,5,28,25,10,7,3,6,11,14,360,320,19,19,0,1,1,2,7,9,4,5,2,2,5,3,275,233,59,63,39,32,8,6,52,48,10,14,45,40,9,10,4,6,16,16,28,16,52,59,21,26,1,4,1,0
5722394,51,49,10,6,4,6,16,9,9,18,5,2,0,0,1,6,7,5,2,0,29,24,16,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5722398,53,47,1,3,1,9,12,19,20,13,2,2,0,0,8,1,2,5,1,1,26,20,12,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5722396,64,36,5,3,3,5,13,11,12,15,4,3,0,0,3,7,10,2,2,1,42,24,5,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5722406,55,45,1,6,9,1,16,19,19,16,2,2,0,0,7,3,7,2,,,23,24,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5722402,52,48,2,1,1,2,12,23,26,14,4,3,0,1,4,4,7,5,2,3,26,21,8,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5722404,49,51,2,1,2,7,16,18,18,23,0,2,0,0,6,5,2,5,7,0,28,26,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5722408,55,45,2,5,5,6,22,17,20,24,2,4,0,0,8,5,3,5,2,3,25,32,10,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5722400,53,47,4,1,5,2,18,19,21,19,0,3,0,0,4,5,3,5,1,2,22,24,12,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5722410,53,47,1,2,2,2,17,23,26,21,2,5,1,1,2,3,3,1,4,3,23,24,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5722428,53,47,3,3,6,5,7,18,19,8,4,1,0,0,4,4,6,2,1,1,23,30,7,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5722416,66,34,3,9,10,5,19,14,14,21,2,2,0,0,9,4,12,3,2,0,29,19,6,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5722412,38,62,0,4,4,5,16,19,20,19,2,3,0,0,7,1,4,5,3,1,20,19,6,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5722418,60,40,4,5,10,3,14,12,12,15,3,3,0,0,6,4,12,5,1,0,25,19,6,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5722422,43,57,2,1,4,2,21,16,17,24,4,5,0,0,2,5,2,5,3,1,16,24,9,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5722426,54,46,0,3,7,3,15,13,17,17,4,5,0,0,3,0,3,3,2,4,27,24,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5722414,57,43,1,3,5,2,11,17,19,12,4,2,0,0,3,5,6,3,1,2,31,18,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5722420,55,45,2,10,8,1,15,24,24,15,0,2,0,1,12,3,1,2,,,23,23,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5722424,57,43,2,2,3,1,19,13,21,21,3,2,0,0,4,6,5,7,2,8,29,20,8,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5722446,43,57,4,1,2,6,12,15,17,13,2,1,0,0,2,5,4,7,1,2,21,37,10,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5722432,47,53,2,6,7,5,19,17,21,20,1,3,0,0,9,3,8,5,1,4,28,29,8,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5722438,54,46,2,5,4,2,14,16,18,19,3,2,0,0,7,2,8,7,5,2,20,13,11,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5722440,60,40,3,3,4,2,17,18,18,20,5,2,0,0,5,7,1,8,3,0,22,20,12,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5722430,48,52,4,0,4,5,23,14,14,25,1,4,0,0,2,4,4,6,2,0,24,39,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5722444,53,47,2,3,5,4,17,12,14,18,1,2,0,0,5,6,6,1,1,2,33,21,6,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5722436,55,45,3,3,4,5,16,16,19,20,1,2,1,0,4,5,4,4,4,3,20,17,5,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5722442,35,65,6,2,4,2,16,13,15,18,1,4,0,0,4,8,4,14,2,2,23,25,22,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5722434,55,45,3,3,10,1,14,20,20,15,4,2,0,0,4,4,9,3,1,0,28,19,4,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5722456,41,59,1,5,6,5,17,19,22,21,3,4,0,0,8,4,5,5,4,3,18,25,7,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5722460,52,48,5,4,9,9,14,10,11,15,3,1,0,0,9,6,5,7,1,1,23,26,9,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5722448,51,49,1,5,2,3,14,27,29,15,2,5,0,0,7,3,10,4,1,2,27,22,8,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5722450,54,46,6,8,9,2,18,10,11,20,1,1,0,0,9,6,13,2,2,1,27,20,6,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5722458,56,44,2,2,3,4,14,20,21,15,4,5,0,0,4,4,5,3,1,1,18,23,5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
