position,team,team_id,matches,wins,draws,losses,goals_for,goals_against,goal_diff,points
1,Galatasaray,3061,34,21,8,5,66,35,+31,71
2,Fenerbahçe,3052,34,18,7,9,56,39,+17,61
3,Beşiktaş JK,3050,34,16,10,8,63,49,+14,58
4,Bursaspor,3055,34,14,13,7,52,41,+11,55
5,Kayserispor,3072,34,15,7,12,48,45,+3,52
6,Kasımpaşa,6063,34,14,8,12,48,37,+11,50
7,Antalyaspor,3056,34,14,5,15,50,52,-2,47
8,Eskişehirspor,6364,34,11,13,10,48,40,+8,46
9,Trabzonspor,3051,34,13,7,14,39,40,-1,46
10,Gaziantepspor,3060,34,12,10,12,42,49,-7,46
11,Gençlerbirliği,7802,34,10,15,9,46,47,-1,45
12,Sivasspor,3076,34,12,8,14,42,46,-4,44
13,Elazığspor,3068,34,10,13,11,31,46,-15,43
14,Akhisarspor,24748,34,11,9,14,36,44,-8,42
15,Karabükspor,7027,34,11,7,16,41,53,-12,40
16,Başakşehir FK,3086,34,9,9,16,43,50,-7,36
17,Orduspor,5140,34,6,11,17,35,51,-16,29
18,Mersin İdman Yurdu,3102,34,4,10,20,31,53,-22,22
