match_id,minute,added_time,player,player_id,card_type,is_home
7477132,83,,Kubilay Kanatsızkuş,828953,yellow,False
7477132,44,,Mahmut Tekdemir,43666,yellow,True
7477133,82,,Olcan Adın,18767,yellow,True
7477133,80,,Hakan Bilgiç,178283,yellow,False
7477133,79,,Miguel Lopes,41651,yellow,True
7477133,78,,Ömer Bayram,68335,yellow,True
7477133,76,,Hakan Arslan,60646,yellow,False
7477133,1,,Rıdvan Şimşek,60338,yellow,False
7477135,89,,Hamidou Traoré,333213,yellow,False
7477135,61,,Sergei Politevich,43187,yellow,True
7477135,61,,Kamal Issah,135773,yellow,True
7477135,21,,Barış Başdaş,74075,yellow,False
7477135,20,,André Poko,177103,yellow,False
7477136,90,2,Abdullah Durak,42224,yellow,False
7477136,85,,Samuel Eduok,330035,yellow,False
7477136,56,,Isaac Sackey,292965,yellow,True
7477136,48,,Markus Neumayr,16229,yellow,False
7477136,43,,Mamadou Fofana,822703,yellow,True
7477136,14,,Syam Ben Youssef,118144,yellow,False
7477137,90,4,Samed Karakoç,785498,yellow,False
7477137,90,3,Beto,44652,yellow,True
7477137,90,2,André Castro,41652,yellow,True
7477137,86,,Sabri Sarioğlu,5715,yellow,True
7477137,23,,Rajko Rotman,61375,yellow,True
7477131,86,,Uğur Demirok,43427,yellow,True
7477131,52,,Ján Ďurica,12869,yellow,True
7477131,50,,Nejc Skubic,41240,yellow,False
7477131,36,,Moryke Fofana,269199,yellow,False
7477131,36,,João Pereira,13198,yellow,True
7477131,34,,Yusuf Yazıcı,827804,yellow,True
7480313,90,3,Andreas Maxsø,287941,yellow,False
7480313,89,,Tonia Tisdell,86995,red,False
7480313,80,,Michael Pereira,114187,yellow,True
7480313,62,,Numan Çürüksu,105587,yellow,False
7480313,54,,Tiago Pinto,44627,yellow,False
7477130,90,1,Andreas Beck,9860,yellow,True
7477130,63,,Diego Angelo,32818,yellow,False
7477130,58,,Duško Tošić,14557,yellow,True
7477130,45,5,Mostapha El Kabir,44346,yellow,False
7477130,45,2,Ondřej Čelůstka,45764,yellow,False
