match_id,home_ballpossession,away_ballpossession,home_totalshotsongoal,away_totalshotsongoal,home_goalkeepersaves,away_goalkeepersaves,home_cornerkicks,away_cornerkicks,home_fouls,away_fouls,home_passes,away_passes,home_freekicks,away_freekicks,home_yellowcards,away_yellowcards,home_shotsongoal,away_shotsongoal,home_hitwoodwork,away_hitwoodwork,home_shotsoffgoal,away_shotsoffgoal,home_blockedscoringattempt,away_blockedscoringattempt,home_totalshotsinsidebox,away_totalshotsinsidebox,home_totalshotsoutsidebox,away_totalshotsoutsidebox,home_offsides,away_offsides,home_accuratepasses,away_accuratepasses,home_throwins,away_throwins,home_duelwonpercent,away_duelwonpercent,home_groundduelspercentage,away_groundduelspercentage,home_aerialduelspercentage,away_aerialduelspercentage,home_goalkicks,away_goalkicks,home_accuratethroughball,away_accuratethroughball,home_redcards,away_redcards,home_bigchancecreated,away_bigchancecreated,home_totaltackle,away_totaltackle,home_bigchancescored,away_bigchancescored,home_bigchancemissed,away_bigchancemissed,home_fouledfinalthird,away_fouledfinalthird,home_finalthirdentries,away_finalthirdentries,home_accuratelongballs,away_accuratelongballs,home_accuratecross,away_accuratecross,home_dispossessed,away_dispossessed,home_dribblespercentage,away_dribblespercentage,home_wontacklepercent,away_wontacklepercent,home_interceptionwon,away_interceptionwon,home_ballrecovery,away_ballrecovery,home_totalclearance,away_totalclearance
7479868,61,39,18,7,1,4,3,5,12,15,493,324,13,10,3,2,6,5,0,0,9,2,3,0,6,4,12,3,2,1,396,222,35,15,53,47,41,29,30,33,1,14,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7479871,64,36,14,11,3,3,2,6,14,20,512,276,18,12,1,4,4,4,0,0,8,3,2,4,10,6,4,5,0,1,407,189,27,21,56,44,49,35,18,17,4,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7479836,69,31,18,7,0,3,4,1,11,9,561,241,9,10,3,4,7,1,0,0,7,4,4,2,7,3,11,5,2,1,464,157,29,17,52,48,36,33,15,15,7,16,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7479845,45,55,11,18,9,4,1,9,24,9,432,503,7,22,3,2,7,9,1,0,4,5,0,4,6,8,5,10,3,0,349,405,14,27,39,61,34,56,7,9,9,6,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7479866,27,73,9,11,4,4,2,5,16,10,269,690,9,14,4,4,5,4,1,1,3,6,1,1,5,7,4,4,2,5,187,601,24,17,44,56,32,34,11,21,9,3,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7479870,35,65,6,22,3,2,0,6,12,8,296,545,8,11,5,1,3,4,0,0,3,12,0,6,3,14,3,8,2,4,217,480,10,18,41,59,24,32,11,19,18,5,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7479872,41,59,15,12,1,4,3,2,15,18,340,465,15,14,3,4,6,2,0,0,6,6,3,4,8,7,7,5,4,2,242,353,23,34,51,49,52,49,18,19,14,8,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7479855,54,46,11,4,1,4,7,5,13,12,358,326,10,10,2,1,4,1,0,0,4,3,3,0,6,4,5,0,2,1,246,213,40,29,50,50,37,33,20,25,6,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7479847,52,48,10,11,2,5,2,2,13,17,471,438,15,11,2,1,6,3,0,0,2,6,2,2,6,7,4,4,6,5,375,322,18,15,58,42,61,46,25,16,6,8,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7479865,54,46,16,6,1,0,4,5,15,14,454,367,12,15,3,1,1,1,3,0,13,1,2,4,6,5,10,1,5,1,372,252,14,26,50,50,34,46,23,11,7,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
