position,team,team_id,matches,wins,draws,losses,goals_for,goals_against,goal_diff,points
1,Galatasaray,3061,34,24,3,7,75,33,+42,75
2,Fenerbahçe,3052,34,21,9,4,78,36,+42,72
3,Başakşehir FK,3086,34,22,6,6,62,34,+28,72
4,Beşiktaş JK,3050,34,21,8,5,69,30,+39,71
5,Trabzonspor,3051,34,15,10,9,63,51,+12,55
6,Göztepe,3054,34,13,10,11,49,50,-1,49
7,Sivasspor,3076,34,14,7,13,45,53,-8,49
8,Kasımpaşa,6063,34,13,7,14,57,58,-1,46
9,Kayserispor,3072,34,12,8,14,44,55,-11,44
10,Yeni Malatyaspor,24759,34,11,10,13,38,45,-7,43
11,Akhisarspor,24748,34,11,9,14,44,53,-9,42
12,Alanyaspor,6362,34,11,7,16,55,59,-4,40
13,Bursaspor,3055,34,11,6,17,43,48,-5,39
14,Antalyaspor,3056,34,10,8,16,40,59,-19,38
15,Konyaspor,3085,34,9,9,16,38,42,-4,36
16,Sincan Belediyesi Ankaraspor,3057,34,8,9,17,49,60,-11,33
17,Gençlerbirliği,7802,34,8,9,17,37,54,-17,33
18,Karabükspor,7027,34,3,3,28,20,86,-66,12
