team_id,season_id,matches,goalsScored,goalsConceded,assists,shots,shotsOnTarget,bigChances,bigChancesCreated,averageBallPossession,totalPasses,accuratePassesPercentage,tackles,interceptions,clearances,saves,yellowCards,redCards,avgRating
3061,13575,34,75,33,55,498,200,77,68,57.147058823529,16357,81.934340037904,551,369,680,76,72,5,7.0023861171367
3052,13575,34,78,36,50,494,180,77,69,56.441176470588,16632,81.072631072631,654,397,852,79,73,4,6.9991323210412
3086,13575,34,62,34,53,414,173,62,64,58.5,18983,84.407101090449,578,398,638,91,71,5,6.9709401709402
3050,13575,34,69,30,55,583,209,86,83,60.617647058824,17600,84.142045454545,607,394,517,98,81,7,7.0346808510638
3051,13575,34,63,51,41,463,169,90,82,53.558823529412,14857,79.033452244733,620,431,803,117,88,6,6.9286334056399
3054,13575,34,49,50,30,393,160,48,51,49.617647058824,14523,77.295549900268,565,475,760,113,83,5,6.8028017241379
3076,13575,34,45,53,31,383,144,40,42,48.705882352941,14099,78.431094403858,587,450,646,109,68,6,6.8041036717063
6063,13575,34,57,58,39,407,144,54,48,46.088235294118,13942,79.615550136279,622,470,982,132,83,4,6.871017699115
3072,13575,34,44,55,28,372,121,53,45,53.058823529412,15055,79.574892062438,548,366,596,89,76,8,6.7341825902335
24759,13575,34,38,45,25,377,124,45,43,45.441176470588,12765,77.783000391696,574,394,862,89,72,2,6.8282655246253
24748,13575,34,44,53,29,333,124,57,56,46.088235294118,13331,75.710749381142,570,448,767,92,77,8,6.7575692963753
6362,13575,34,55,59,39,448,185,57,52,44.264705882353,12284,74.975577987626,625,439,649,96,85,4,6.8107991360691
3055,13575,34,43,48,27,341,117,38,40,46.852941176471,13559,76.945202448558,628,410,693,96,69,4,6.7887445887446
3056,13575,34,40,59,26,414,147,46,40,49.823529411765,14119,78.504143352929,636,440,745,89,86,4,6.7745140388769
3085,13575,34,38,42,21,394,127,45,31,49.088235294118,13948,77.358761112704,527,450,721,127,82,4,6.8155982905983
3057,13575,34,49,60,30,459,152,55,50,44.5,12347,75.994168623957,578,442,797,103,77,2,6.8008565310493
7802,13575,34,37,54,23,357,139,46,46,42.617647058824,11552,71.338296398892,500,500,801,101,87,6,6.7271578947368
7027,13575,34,20,86,10,373,116,37,34,47.588235294118,13568,77.034198113208,639,402,670,110,98,4,6.584076433121
