team_id,season_id,matches,goalsScored,goalsConceded,assists,shots,shotsOnTarget,bigChances,bigChancesCreated,averageBallPossession,totalPasses,accuratePassesPercentage,tackles,interceptions,clearances,saves,yellowCards,redCards,avgRating
3061,53190,38,92,26,59,743,253,134,100,60.868421052632,18278,81.890797680271,622,339,541,95,66,1,7.1259762308998
3052,53190,38,99,31,64,667,268,164,117,56.947368421053,17832,81.740690892777,644,363,531,71,93,5,7.1144112478032
3051,53190,37,66,50,44,500,165,63,49,52.756756756757,16283,81.661855923356,574,316,605,105,64,1,6.9741635687732
3086,53190,38,57,43,37,444,161,84,56,52.894736842105,17086,83.126536345546,517,333,667,104,81,5,6.9144347826087
6063,53190,38,62,65,40,537,175,70,51,47.157894736842,14225,74.994727592267,603,388,744,108,70,2,6.9301181102362
3050,53190,38,52,47,37,515,177,83,63,54.894736842105,16776,82.004053409633,613,358,574,101,92,4,6.9255244755245
3076,53190,38,47,54,28,420,170,69,51,41.710526315789,13303,79.200677652857,536,293,802,133,73,3,6.8630314232902
6362,53190,38,53,50,30,450,153,96,69,52.684210526316,18030,83.533000554631,587,294,741,107,85,4,6.919320214669
3064,53190,38,48,58,37,478,156,81,61,47.210526315789,14156,78.117938625264,619,349,718,136,83,3,6.8704504504504
3056,53190,38,44,49,32,500,150,60,49,51.184210526316,16095,81.70239204722,575,369,691,123,77,4,6.8897666068223
5138,53190,38,50,57,33,434,151,86,67,42.078947368421,13063,75.901400903315,664,442,796,121,86,4,6.8664825046041
3101,53190,38,54,61,31,527,187,79,56,51.921052631579,15714,80.91510754741,617,316,564,134,79,8,6.885409252669
3053,53190,38,42,52,25,459,143,70,54,47.078947368421,14104,74.567498581963,623,379,649,94,79,3,6.8126689189189
3072,53190,38,44,57,29,458,147,82,63,52.052631578947,16349,80.298489204233,547,343,726,142,83,4,6.8142599277978
3091,53190,38,45,52,29,419,145,71,50,47.315789473684,14553,79.303236446094,571,300,715,115,105,1,6.8254266211604
3085,53190,38,40,53,24,417,127,59,44,46.447368421053,14797,78.211799689126,599,356,725,80,75,2,6.8569176882662
3103,53190,38,46,52,30,457,156,63,47,48.210526315789,15949,80.769954229105,580,346,680,111,66,3,6.8597246127367
4954,53190,38,49,52,37,461,155,64,52,49.894736842105,16176,80.310336300692,536,341,675,108,94,7,6.8444253859348
7032,53190,38,42,73,28,450,145,78,56,49.947368421053,15497,79.137897657611,619,338,719,106,85,6,6.8341592920354
3066,53190,37,27,77,17,386,141,59,41,46.72972972973,15043,78.641228478362,568,328,769,140,88,6,6.725311942959
