position,team,team_id,matches,wins,draws,losses,goals_for,goals_against,goal_diff,points
1,Fenerbahçe,3052,34,20,10,4,65,31,+34,70
2,Beşiktaş JK,3050,34,18,7,9,43,32,+11,61
3,Galatasaray,3061,34,15,11,8,58,37,+21,56
4,Trabzonspor,3051,34,15,7,12,54,44,+10,52
5,Kayserispor,3072,34,13,12,9,54,43,+11,51
6,Gençlerbirliği,7802,34,14,6,14,43,42,+1,48
7,Sivasspor,3076,34,14,6,14,41,44,-3,48
8,Sincan Belediyesi Ankaraspor,3057,34,10,17,7,43,38,+5,47
9,Konyaspor,3085,34,12,9,13,42,44,-2,45
10,Bursaspor,3055,34,12,9,13,36,42,-6,45
11,Gaziantepspor,3060,34,11,10,13,31,39,-8,43
12,Manisaspor,3100,34,11,9,14,41,45,-4,42
13,MKE Ankaragücü,3103,34,11,9,14,32,39,-7,42
14,Denizlispor,3058,34,9,14,11,33,40,-7,41
15,Çaykur Rizespor,3064,34,11,7,16,34,40,-6,40
16,Antalyaspor,3056,34,8,15,11,32,36,-4,39
17,Kayseri Erciyesspor,3096,34,9,10,15,29,49,-20,37
18,Sakaryaspor,3080,34,4,10,20,25,51,-26,22
