player_id,name,short_name,position,jersey_number,height,preferred_foot,date_of_birth_ts,team_id,market_value_eur,nationality,roster_source
1422240,Rüstü Reçber,R. Reçber,G,34,187,,105840000,3052,,Türkiye,season_lineups
5512,Serkan Balci,S. Balci,D,,169,,430358400,3052,,Türkiye,season_lineups
5504,Onder Turaci,O. Turaci,D,19,186,,363916800,3052,,Türkiye,season_lineups
12864,Can Arat,C. Arat,D,,190,,443491200,3052,,Türkiye,season_lineups
25486,Ümit Özat,Ü. Özat,D,5,186,,215481600,3052,,Türkiye,season_lineups
2080,Stephen Appiah,S. Appiah,M,18,178,,346464000,3052,,Ghana,season_lineups
5500,Mehmet Aurélio,M. Aurélio,M,15,179,,250992000,3052,,Türkiye,season_lineups
5495,Tuncay Şanlı,T. Şanlı,M,10,182,,379987200,3052,,Türkiye,season_lineups
12863,Alex,Alex,M,,173,,243043200,3052,,Brazil,season_lineups
5322,Tümer Metin,T. Metin,M,67,178,,150940800,3052,,Türkiye,season_lineups
5511,Semih Şentürk,S. Şentürk,F,29,183,,420422400,3052,,Türkiye,season_lineups
5490,Mehmet Yozgatli,M. Yozgatli,F,7,181,,284688000,3052,,Türkiye,season_lineups
15683,Uğur Boral,U. Boral,M,,178,,387590400,3052,,Türkiye,season_lineups
43618,Murat Hacioglu,M. Hacioglu,F,8,169,,297820800,3052,,Türkiye,season_lineups
15677,Volkan Demirel,V. Demirel,G,1,191,,372988800,3052,,Türkiye,season_lineups
5488,Servet Çetin,S. Çetin,D,3,191,,353635200,3052,,Türkiye,season_lineups
43669,Kerim Zengin,K. Zengin,D,,179,,482198400,3052,,Türkiye,season_lineups
12384,Selçuk Şahin,S. Şahin,M,21,189,,349747200,3052,,Türkiye,season_lineups
1854678,Erdogdu Hanefi,E. Hanefi,D,16,180,,423273600,3052,,Türkiye,season_lineups
13447,Diego Lugano,D. Lugano,D,,188,,341971200,3052,,Uruguay,season_lineups
18763,Edu Dracena,E. Dracena,D,,187,,358992000,3052,,Brazil,season_lineups
18223,Deivid,Deivid,F,99,180,,309398400,3052,,Brazil,season_lineups
1224,Mateja Kežman,M. Kežman,F,9,182,,292723200,3052,,Serbia,season_lineups
18756,Serdar Kulbilge,S. Kulbilge,G,22,186,,331776000,3052,,Türkiye,season_lineups
18767,Olcan Adın,O. Adın,M,,172,,496886400,3052,,Türkiye,season_lineups
5507,Deniz Baris,D. Baris,D,,184,,236649600,3052,,Türkiye,season_lineups
5510,Kemal Aslan,K. Aslan,M,27,176,,372729600,3052,,Türkiye,season_lineups
1844971,Vedran Runje,V. Runje,G,1,185,,192758400,3050,,Croatia,season_lineups
903462,Fahri Tatan,F. Tatan,M,,170,,423100800,3050,,Türkiye,season_lineups
5743,Gökhan Zan,G. Zan,D,5,191,,368668800,3050,,Türkiye,season_lineups
5776,Baki Mercimek,B. Mercimek,D,,184,,401068800,3050,,Türkiye,season_lineups
5312,Ibrahim Uzulmez,I. Uzulmez,D,19,175,,132105600,3050,,Türkiye,season_lineups
1422237,Kléberson,Kléberson,M,15,175,,298598400,3050,,Brazil,season_lineups
5318,Mustafa Koray Avci,M. K. Avci,M,,182,,264384000,3050,,Türkiye,season_lineups
18864,Burak Yılmaz,B. Yılmaz,F,,188,,490233600,3050,,Türkiye,season_lineups
3754,Matías Delgado,M. Delgado,M,,183,,408758400,3050,,Argentina,season_lineups
5735,Gokhan Gulec,G. Gulec,F,,182,,496454400,3050,,Türkiye,season_lineups
5498,Mert Nobre,M. Nobre,F,11,188,,342316800,3050,,Türkiye,season_lineups
18861,Serdar Kurtuluş,S. Kurtuluş,D,,186,,553996800,3050,,Türkiye,season_lineups
18221,Bobô,Bobô,F,13,186,,474076800,3050,,Brazil,season_lineups
5321,İbrahim Akın,İ. Akın,F,,183,,442022400,3050,,Türkiye,season_lineups
5305,Murat Sahin,M. Sahin,G,34,184,,192240000,3050,,Türkiye,season_lineups
13280,Mehmet Sedef,M. Sedef,D,,180,,555120000,3050,,Türkiye,season_lineups
2323158,Mustafa Dogan,M. Dogan,D,,,,189302400,3050,,Germany,season_lineups
5303,Ali Tandogan,A. Tandogan,D,,175,,251856000,3050,,Türkiye,season_lineups
5314,Ibrahim Toraman,I. Toraman,D,,179,,375062400,3050,,Türkiye,season_lineups
146364,Kenan Özer,K. Özer,M,,170,,556070400,3050,48000,Türkiye,season_lineups
1422239,Ricardinho,Ricardinho,M,17,176,,201657600,3050,,Brazil,season_lineups
5313,Ali Gunes,A. Gunes,M,,177,,280627200,3050,,Türkiye,season_lineups
18860,Ibrahim Kas,I. Kas,D,,183,,527558400,3050,,Türkiye,season_lineups
30032,Serdar Özkan,S. Özkan,M,10,177,,536457600,3050,,Türkiye,season_lineups
1003194,Can Erdem,C. Erdem,F,,188,,550108800,3050,68000,Türkiye,season_lineups
18862,Aydin Karabulut,A. Karabulut,M,,178,,570067200,3050,,Türkiye,season_lineups
42890,Korcan Çelikay,K. Çelikay,G,,194,,567907200,3050,23000,Türkiye,season_lineups
