position,team,team_id,matches,wins,draws,losses,goals_for,goals_against,goal_diff,points
1,Beşiktaş JK,3050,34,21,8,5,60,30,+30,71
2,Sivasspor,3076,34,19,9,6,54,28,+26,66
3,Trabzonspor,3051,34,19,8,7,54,34,+20,65
4,Fenerbahçe,3052,34,18,7,9,60,36,+24,61
5,Galatasaray,3061,34,18,7,9,57,39,+18,61
6,Bursaspor,3055,34,16,10,8,47,36,+11,58
7,Kayserispor,3072,34,13,11,10,38,26,+12,50
8,Gaziantepspor,3060,34,12,11,11,46,48,-2,47
9,Başakşehir FK,3086,34,12,6,16,37,46,-9,42
10,Sincan Belediyesi Ankaraspor,3057,34,11,8,15,36,42,-6,41
11,Eskişehirspor,6364,34,10,10,14,45,49,-4,40
12,Antalyaspor,3056,34,10,10,14,34,42,-8,40
13,MKE Ankaragücü,3103,34,11,6,17,36,47,-11,39
14,Gençlerbirliği,7802,34,10,8,16,38,50,-12,38
15,Denizlispor,3058,34,11,5,18,39,52,-13,38
16,Konyaspor,3085,34,10,8,16,35,46,-11,38
17,Kocaelispor,3065,34,8,5,21,47,73,-26,29
18,Hacettepe SK,7801,34,5,7,22,24,63,-39,22
