player_id,name,short_name,position,jersey_number,height,preferred_foot,date_of_birth_ts,team_id,market_value_eur,nationality,roster_source
15677,Volkan Demirel,V. Demirel,G,1,191,,372988800,3052,,Türkiye,season_lineups
30137,Gökhan Gönül,G. Gönül,D,77,174,,473644800,3052,,Türkiye,season_lineups
13447,Diego Lugano,D. Lugano,D,,188,,341971200,3052,,Uruguay,season_lineups
1345,Fabio Bilica,F. Bilica,D,,187,,285120000,3052,,Brazil,season_lineups
56766,André Santos,A. Santos,D,27,180,,415929600,3052,,Brazil,season_lineups
2054,Emre Belözoğlu,E. Belözoğlu,M,,169,,337132800,3052,,Türkiye,season_lineups
34158,Cristian Baroni,Cristian,M,16,183,,425347200,3052,,Brazil,season_lineups
21825,Mehmet Topuz,M. Topuz,M,,180,,431740800,3052,,Türkiye,season_lineups
12863,Alex,Alex,M,,173,,243043200,3052,,Brazil,season_lineups
42860,Miroslav Stoch,M. Stoch,M,,166,,624758400,3052,,Slovakia,season_lineups
5511,Semih Şentürk,S. Şentürk,F,29,183,,420422400,3052,,Türkiye,season_lineups
39573,Mert Günok,M. Günok,G,34,196,,604713600,3052,545000,Türkiye,season_lineups
15680,Caner Erkin,C. Erkin,D,,181,,591926400,3052,55000,Türkiye,season_lineups
43425,Özer Hurmacı,Ö. Hurmacı,M,10,174,,532828800,3052,,Türkiye,season_lineups
43646,Ilhan Eker,I. Eker,D,,185,,410227200,3052,,Türkiye,season_lineups
21823,Bekir İrtegün,B. İrtegün,D,,185,,451267200,3052,,Türkiye,season_lineups
12384,Selçuk Şahin,S. Şahin,M,21,189,,349747200,3052,,Türkiye,season_lineups
5823,Gokhan Unal,G. Unal,F,,184,,396230400,3052,,Türkiye,season_lineups
3507,Mamadou Niang,M. Niang,F,11,178,,308620800,3052,,Senegal,season_lineups
105974,Ertuğrul Taşkıran,E. Taşkıran,G,1,191,,626227200,3052,105000,Türkiye,season_lineups
808981,Okan Alkan,O. Alkan,D,,170,,717897600,3052,26000,Türkiye,season_lineups
17986,Issiar Dia,I. Dia,M,,170,,550108800,3052,,Senegal,season_lineups
1143,Joseph Yobo,J. Yobo,D,,185,,337046400,3052,,Nigeria,season_lineups
5247,Serkan Kırıntılı,S. Kırıntılı,G,,185,,477273600,3052,,Türkiye,season_lineups
106827,Gökay İravul,G. İravul,M,5,171,,719366400,3052,26000,Türkiye,season_lineups
30134,Colin Kazim-Richards,C. Kazim-Richards,F,,185,,525398400,3052,,Türkiye,season_lineups
15683,Uğur Boral,U. Boral,M,,178,,387590400,3052,,Türkiye,season_lineups
114205,Hasan Erbey,H. Erbey,D,2,183,,685411200,3052,24000,Türkiye,season_lineups
811494,Daniel Güiza,D. Güiza,F,,180,,335318400,3052,49000,Spain,season_lineups
43715,Onur Kıvrak,O. Kıvrak,G,1,187,,567993600,3051,,Türkiye,season_lineups
5512,Serkan Balci,S. Balci,D,,169,,430358400,3051,,Türkiye,season_lineups
18790,Arkadiusz Głowacki,A. Głowacki,D,,186,,290131200,3051,,Poland,season_lineups
43711,Egemen Korkmaz,E. Korkmaz,D,,182,,405129600,3051,,Türkiye,season_lineups
31147,Hrvoje Čale,H. Čale,D,5,184,,478742400,3051,,Croatia,season_lineups
790572,Gustavo Colman,G. Colman,M,,175,,482630400,3051,,Argentina,season_lineups
20747,Ceyhun Gülselam,C. Gülselam,M,6,192,,567388800,3051,335000,Türkiye,season_lineups
31253,Selçuk İnan,S. İnan,M,8,182,,476841600,3051,,Türkiye,season_lineups
18864,Burak Yılmaz,B. Yılmaz,F,,188,,490233600,3051,,Türkiye,season_lineups
47099,Teófilo Gutiérrez,T. Gutiérrez,F,29,177,,485136000,3051,52000,Colombia,season_lineups
15107,Alanzinho,Alanzinho,M,,164,,414720000,3051,,Brazil,season_lineups
6181,Ibrahima Yattara,I. Yattara,F,,175,,328838400,3051,,Guinea,season_lineups
5275,Umut Bulut,U. Bulut,F,,184,,416534400,3051,,Türkiye,season_lineups
60262,Baris Atas,B. Atas,M,,170,,539136000,3051,,Türkiye,season_lineups
6189,Tolga Zengin,T. Zengin,G,29,192,,434592000,3051,,Türkiye,season_lineups
35583,Giray Kacar,G. Kacar,D,23,187,,479692800,3051,,Türkiye,season_lineups
14960,Jaja,Jaja,F,,189,,509932800,3051,235000,Brazil,season_lineups
43717,Barış Memiş,B. Memiş,F,,169,,631497600,3051,26000,Türkiye,season_lineups
816355,Mert Ege Ozeren,M. E. Ozeren,D,,190,,668217600,3051,,Türkiye,season_lineups
17796,Ferhat Öztorun,F. Öztorun,D,,174,,547430400,3051,,Türkiye,season_lineups
43703,Sezer Badur,S. Badur,M,,181,,456537600,3051,,Türkiye,season_lineups
135783,Huseyin Kayikci,H. Kayikci,,,178,,711244800,3051,,Türkiye,season_lineups
43642,Engin Baytar,E. Baytar,M,,177,,426729600,3051,,Türkiye,season_lineups
124643,Mustafa Yumlu,M. Yumlu,D,22,191,,559526400,3051,48000,Türkiye,season_lineups
16227,Zafer Yelen,Z. Yelen,M,,181,,525744000,3051,0,Türkiye,season_lineups
18218,Tayfun Cora,T. Cora,D,,182,,439430400,3051,,Türkiye,season_lineups
43424,Mehmet Cakir,M. Cakir,M,,179,,442022400,3051,,Türkiye,season_lineups
19000,Paweł Brożek,P. Brożek,F,,180,,419731200,3051,,Poland,season_lineups
