match_id,minute,added_time,player,player_id,card_type,is_home
15794196,86,,Mehmet Aurélio,5500,yellow,False
15794196,55,,Lars Fredrik Risp,7040,yellow,True
15794196,27,,Deniz Baris,5507,yellow,False
15794197,67,,Ali Gunes,5313,yellow,False
15794197,44,,Okan Buruk,5317,yellow,False
15794197,33,,Mustafa Koray Avci,5318,yellow,False
15794197,28,,Timucin Bayazit,2512804,yellow,True
15794197,24,,Omer Ates,87003,yellow,True
15794197,14,,Ali Tandogan,5303,red,False
15794198,71,,Goce Sedloski,11485,yellow,True
15794198,44,,Mehmet Polat,43600,yellow,False
15794199,89,,Ertugrul Arslan,43521,yellow,True
15794199,86,,Mehmet Yildiz,5489,yellow,True
15794199,83,,Hakan Soyler,5910,yellow,False
15794199,77,,Musa Kus,43621,yellow,True
15794199,76,,Mert Korkmaz,2512556,yellow,False
15794199,59,,Mohamed Ali Kurtulus,43700,yellow,True
15794199,45,,Eren Aydin,5893,yellow,False
15794200,86,,Bulent Bolukbasi,5803,yellow,False
15794200,70,,Muhammet Hanifi Yoldas,2510560,yellow,False
15794201,73,,Ramazan Tunç,2512622,yellow,False
15794201,65,,Murat Erdogan,5907,yellow,False
15794201,47,,Burak Ozsarac,2510559,yellow,True
15794201,44,,Radek Dosoudil,14861,yellow,True
15794201,42,,Musa Buyuk,5296,yellow,False
15794201,35,,Hürriyet Güçer,5285,yellow,False
15794201,28,,Mustafa Keceli,5375,yellow,True
15794202,62,,Zafer Demir,5867,yellow,False
15794202,17,,Orhan Ak,29179,yellow,True
15794204,-1,,Yunus Murat Ceylan,60378,yellow,True
15794204,89,,Niyazi Guney,2513220,yellow,False
15794204,89,,Petr Johana,1854635,yellow,True
15794204,88,,Michal Meduna,1854642,yellow,True
15794204,86,,Yunus Murat Ceylan,60378,yellowRed,True
15794204,53,,Mohamed Ali Gheriani,74820,yellow,False
15794204,14,,Kenan Aslanoglu,6205,yellow,True
15794204,9,,Umut Bulut,5275,yellow,False
15794203,84,,Şevki Koç,2512642,yellow,False
15794203,75,,Adnan Gungor,6151,yellow,True
15794203,44,,Hasan Yurt,988205,yellow,False
