position,team,team_id,matches,wins,draws,losses,goals_for,goals_against,goal_diff,points
1,Galatasaray,3061,34,26,5,3,82,34,+48,83
2,Fenerbahçe,3052,34,25,6,3,90,34,+56,81
3,Beşiktaş JK,3050,34,15,9,10,52,39,+13,54
4,Trabzonspor,3051,34,15,7,12,51,42,+9,52
5,Kayserispor,3072,34,15,6,13,59,42,+17,51
6,Gençlerbirliği,7802,34,14,9,11,47,39,+8,51
7,Konyaspor,3085,34,12,10,12,39,43,-4,46
8,Sivasspor,3076,34,10,13,11,34,44,-10,43
9,Çaykur Rizespor,3064,34,10,11,13,35,44,-9,41
10,Kayseri Erciyesspor,3096,34,9,13,12,36,47,-11,40
11,Gaziantepspor,3060,34,10,10,14,34,50,-16,40
12,Manisaspor,3100,34,11,7,16,52,61,-9,40
13,MKE Ankaragücü,3103,34,10,9,15,43,48,-5,39
14,Sincan Belediyesi Ankaraspor,3057,34,9,12,13,44,51,-7,39
15,Denizlispor,3058,34,9,10,15,41,50,-9,37
16,Malatyaspor,3067,34,9,9,16,34,50,-16,36
17,Samsunspor,3053,34,9,9,16,45,62,-17,36
18,Diyarbakırspor,362025,34,8,5,21,31,69,-38,29
