match_id,minute,player_in,player_in_id,player_out,player_out_id,is_home
7869492,88,Sedat Ağçay,5744,Arif Morkaya,130013,True
7869492,84,Sofiane Feghouli,37240,Henry Onyekuru,809220,False
7869492,81,Younès Belhanda,72999,Sinan Gümüş,169165,False
7869492,79,Lanre Kehinde,804139,Youness Mokhtar,106576,True
7869492,67,Selçuk İnan,31253,Garry Rodrigues,787429,False
7869492,46,Kenan Özer,146364,İlhan Parlak,5810,True
7869499,90,Erdoğan Yeşilyurt,142541,Arouna Koné,12790,True
7869499,83,Cyriac,47603,Ilker Sayan,97977,True
7869499,77,Emre Güral,37705,Bobô,18221,False
7869499,62,Emre Akbaba,343527,Efecan Karaca,60510,False
7869499,58,Barış Başdaş,74075,Welinton,76529,False
7869499,32,Ilker Sayan,97977,Mert Hakan Yandaş,856849,True
7869494,90,Hakan Demir,826910,Abdulrahman Khalili,109970,False
7869494,83,Abdullah Durak,42224,Musa Çağıran,60363,True
7869494,76,Süleyman Koç,40306,Aminu Umar,333087,True
7869494,65,Tarkan Serbest,164099,İlhan Depe,146368,False
7869494,58,Özgür Çek,69434,Samuel Eduok,330035,False
7869500,90,Alper Potuk,55028,André Ayew,27035,True
7869500,87,Jani Atanasov,883475,Furkan Soyalp,226992,False
7869500,83,Emre Taşdemir,190191,Allano,796925,False
7869500,83,Eljif Elmas,838232,Barış Alıcı,839770,True
7869500,66,Nabil Dirar,42102,Roberto Soldado,13208,True
7869500,46,Tunay Torun,30241,Tomáš Necid,18955,False
7869495,82,Olcay Şahan,16078,Yusuf Yazıcı,827804,False
7869495,77,Emmanuel Adebayor,3094,Riad Bajić,331751,True
7869495,71,Abdulkadir Parmak,344225,Juraj Kucka,48563,False
7869495,60,Emre Belözoğlu,2054,Soner Aydoğdu,69351,True
7869495,55,Stefano Napoleoni,46939,Eljero Elia,10668,True
7869498,89,Marko Jevtović,310068,Adis Jahović,55367,True
7869498,85,Egemen Korkmaz,43711,Özer Hurmacı,43425,False
7869498,81,Abdou Traoré,21090,Volkan Fındıklı,93248,True
7869498,71,Deni Milošević,190403,Moryke Fofana,269199,True
7869498,70,Arsen Khubulov,111869,Lennart Thy,109126,False
7869498,46,Emrah Başsan,174141,Erhan Çelenk,130498,False
7869497,79,Adriano,4441,Jeremain Lens,18115,True
7869497,74,Enzo Roco,105971,Tolgay Arslan,71203,True
7869497,68,Hélder Barbosa,32676,Daniel Larsson,7129,False
7869497,63,Vágner Love,13313,Cyle Larin,790179,True
7869497,46,Elvis Manu,143382,Aykut Çeviker,74133,False
7869497,46,Serginho,40080,Ömer Bayram,68335,False
7869493,82,Tayfur Bingöl,255957,Lamine Gassama,40698,True
7869493,81,Ömer Şişmanoğlu,29451,Guilherme Marques,109610,False
7869493,76,Michael Pereira,114187,Issiar Dia,17986,False
7869493,68,Buğra Çağıran,816071,Adem Büyük,60250,False
7869493,54,Yasin Öztekin,21876,Nabil Ghilas,101452,True
7869493,39,Alpaslan Öztürk,148857,Yoan Gouffran,26982,True
7869496,90,Atila Turan,88617,Bernard Mensah,546220,True
7869496,80,Osman Çelik,758656,William Vainqueur,21280,False
7869496,75,Jean-Armel Drolé,812226,Maicon,76502,False
7869496,72,Hasan Hüseyin Acar,345091,Silvestre Varela,14323,True
7869496,68,Bilal Başaçıkoğlu,336809,Tjaronn Chery,35208,True
7869496,58,Doğukan Sinik,796114,Richard Danilo,1049650,False
7870078,88,Cyriac,47603,Serhiy Rybalka,69366,False
7870078,81,Batuhan Artarslan,312422,José Sosa,22981,True
7870078,78,Erdoğan Yeşilyurt,142541,Ziya Erdal,138312,False
7870078,64,Burak Yılmaz,18864,Hugo Rodallega,15668,True
7870078,53,Juraj Kucka,48563,Yusuf Yazıcı,827804,True
7870078,12,David Braz,46942,Delvin N'Dinga,39044,False
7870077,86,Şamil Çinaz,31568,Silvestre Varela,14323,False
7870077,86,Jires Kembo-Ekoko,16463,Yusuf Erdoğan,256663,True
7870077,75,Tomáš Necid,18955,Bogdan Stancu,22547,True
7870077,67,Bilal Başaçıkoğlu,336809,Tjaronn Chery,35208,False
7870077,65,Tunay Torun,30241,Furkan Soyalp,226992,True
7870077,58,Atila Turan,88617,Sakıb Aytaç,86777,False
7870080,82,Paolo Hurtado,107315,Moryke Fofana,269199,False
7870080,74,Deni Milošević,190403,Adis Jahović,55367,False
7870080,67,Harun Alpsoy,798270,Doğukan Sinik,796114,True
7870080,64,Marko Jevtović,310068,Volkan Fındıklı,93248,False
7870080,56,Yekta Kurtuluş,60289,William Vainqueur,21280,True
7870080,56,Jean-Armel Drolé,812226,Richard Danilo,1049650,True
7870082,90,Erkan Kaş,94868,Danijel Aleksić,45377,True
7870082,86,Mustafa Eskihellaç,899069,Michael Pereira,114187,True
7870082,79,Alper Potuk,55028,Barış Alıcı,839770,False
7870082,78,Eljif Elmas,838232,Şener Özbayraklı,129992,False
7870082,64,Mitchell Donald,21203,Ahmed Ildız,849329,True
7870082,63,Mathieu Valbuena,16540,Mehmet Ekici,37612,False
7870083,85,Oğulcan Çağlayan,387050,Aminu Umar,333087,False
7870083,80,Mustafa Saymak,146450,Musa Çağıran,60363,False
