position,team,team_id,matches,wins,draws,losses,goals_for,goals_against,goal_diff,points
1,Galatasaray,3061,34,20,9,5,72,36,+36,69
2,Başakşehir FK,3086,34,19,10,5,49,22,+27,67
3,Beşiktaş JK,3050,34,19,8,7,72,46,+26,65
4,Trabzonspor,3051,34,18,9,7,64,46,+18,63
5,Yeni Malatyaspor,24759,34,13,8,13,47,46,+1,47
6,Fenerbahçe,3052,34,11,13,10,44,44,0,46
7,Antalyaspor,3056,34,13,6,15,39,55,-16,45
8,Konyaspor,3085,34,9,17,8,40,38,+2,44
9,Alanyaspor,6362,34,12,8,14,37,43,-6,44
10,Kayserispor,3072,34,10,11,13,35,50,-15,41
11,Çaykur Rizespor,3064,34,9,14,11,48,50,-2,41
12,Sivasspor,3076,34,10,11,13,49,54,-5,41
13,MKE Ankaragücü,3103,34,11,7,16,38,53,-15,40
14,Kasımpaşa,6063,34,11,6,17,53,62,-9,39
15,Göztepe,3054,34,11,5,18,37,42,-5,38
16,Bursaspor,3055,34,7,16,11,28,37,-9,37
17,Erzurumspor FK,55603,34,8,11,15,36,43,-7,35
18,Akhisarspor,24748,34,6,9,19,33,54,-21,27
