player_id,team_id,season_id,appearances,matches_started,minutes_played,goals,assists,expected_goals,expected_assists,yellow_cards,red_cards,rating,total_shots,shots_on_target,accurate_passes,total_passes,accurate_passes_pct,key_passes,tackles,interceptions,successful_dribbles,ground_duels_won_pct,aerial_duels_won_pct,saves,clean_sheets,goals_conceded,big_chances_created,big_chances_missed
39573,3052,6673,5,5,450,0,,,,0,0,,,,,,,,,,,,,,,,,
178963,3061,6673,1,1,46,0,,,,0,0,,,,,,,,,,,,,,,,,
135695,3050,6673,16,2,389,0,1,,,1,0,,,,,,,,,,,,,,,,,
43394,3050,6673,24,15,1335,0,,,,6,1,,,,,,,,,,,,,,,,,
97967,3051,6673,25,7,906,1,,,,5,0,,,,,,,,,,,,,,,,,
142850,3076,6673,22,15,1380,0,,,,6,0,,,,,,,,,,,,,,,,,
72127,6063,6673,31,,0,13,,,,,,,,,,,,,,,,,,,,,,
43543,3055,6673,14,,0,2,,,,,,,,,,,,,,,,,,,,,,
69351,3055,6673,12,3,382,1,,,,0,0,,,,,,,,,,,,,,,,,
98276,3056,6673,9,6,527,0,,,,1,0,,,,,,,,,,,,,,,,,
