match_id,home_ballpossession,away_ballpossession,home_goalkeepersaves,away_goalkeepersaves,home_cornerkicks,away_cornerkicks,home_fouls,away_fouls,home_freekicks,away_freekicks,home_yellowcards,away_yellowcards,home_redcards,away_redcards,home_shotsongoal,away_shotsongoal,home_shotsoffgoal,away_shotsoffgoal,home_offsides,away_offsides,home_throwins,away_throwins,home_goalkicks,away_goalkicks
4098997,39,61,2,6,9,9,21,13,13,24,3,2,0,0,6,3,5,7,3,0,23,32,12,10
4098993,54,46,2,1,4,4,13,15,15,18,1,1,0,1,4,2,4,2,5,0,24,26,8,10
4098991,43,57,3,1,4,9,19,13,14,24,2,2,0,0,3,4,2,8,5,1,25,37,15,5
4098999,54,46,2,3,3,1,19,19,20,19,1,0,0,0,4,5,5,4,0,1,18,19,7,11
4099001,49,51,4,3,8,3,14,12,14,17,1,0,0,0,3,4,6,10,3,2,17,14,13,8
4098987,60,40,2,5,9,4,23,8,11,23,3,1,0,0,7,3,5,3,0,3,30,24,6,14
4099009,58,42,3,5,10,8,14,17,20,17,2,0,0,0,7,5,10,6,3,3,21,21,12,13
4099005,54,46,0,6,11,3,13,29,35,15,4,4,0,0,6,0,8,4,2,6,35,20,6,12
4099007,62,38,5,5,3,1,14,21,26,15,0,1,0,0,5,6,9,3,1,5,25,15,3,16
4099017,53,47,2,2,2,3,17,26,32,21,1,1,0,0,4,4,3,4,4,6,16,22,11,5
4099013,53,47,0,2,9,1,16,15,16,18,4,3,0,1,4,1,6,2,2,1,26,22,5,12
4099019,55,45,5,5,4,4,27,18,18,28,4,6,0,0,8,6,5,4,1,0,23,31,9,9
4099015,38,62,1,2,1,8,15,17,19,18,2,2,0,0,6,1,1,7,3,2,25,25,9,3
4099021,64,36,5,7,6,5,11,13,15,16,3,1,0,0,13,6,5,1,5,2,12,15,5,8
4099011,57,43,2,7,11,5,17,19,22,19,3,1,0,1,7,0,9,4,2,3,19,18,11,10
