player_id,name,short_name,position,jersey_number,height,preferred_foot,date_of_birth_ts,team_id,market_value_eur,nationality,roster_source
28381,Fernando Muslera,F. Muslera,G,16,190,,519264000,3061,685000,Uruguay,season_lineups
980418,Sacha Boey,S. Boey,D,93,178,,968803200,3061,13900000,France,season_lineups
846148,Victor Nelsson,V. Nelsson,D,15,187,,908323200,3061,8000000,Denmark,season_lineups
178963,Abdülkerim Bardakcı,A. Bardakcı,D,42,185,,778896000,3061,7100000,Türkiye,season_lineups
74577,Patrick van Aanholt,P. v. Aanholt,D,15,175,,651888000,3061,290000,Netherlands,season_lineups
992912,Berkan Kutlu,B. Kutlu,M,18,186,,885686400,3061,1800000,Türkiye,season_lineups
991493,Sérgio Oliveira,S. Oliveira,M,,181,,707443200,3061,1300000,Portugal,season_lineups
857738,Yunus Akgün,Y. Akgün,M,11,173,,962928000,3061,16700000,Türkiye,season_lineups
343527,Emre Akbaba,E. Akbaba,M,8,180,,718156800,3061,515000,Türkiye,season_lineups
903324,Kerem Aktürkoğlu,K. Aktürkoğlu,F,9,173,,908928000,3061,23000000,Türkiye,season_lineups
50899,Haris Seferović,H. Seferović,F,9,189,,698716800,3061,2200000,Switzerland,season_lineups
98198,Fredrik Midtsjø,F. Midtsjø,M,,176,,745027200,3061,870000,Norway,season_lineups
190197,Taylan Antalyalı,T. Antalyalı,M,14,180,,789523200,3061,830000,Türkiye,season_lineups
202032,Emre Kılınç,E. Kılınç,M,11,174,,777600000,3061,1200000,Türkiye,season_lineups
3530,Bafetimbi Gomis,B. Gomis,F,,184,,492134400,3061,,France,season_lineups
190179,Okan Kocuk,O. Koçuk,G,1,187,,806803200,3061,2100000,Türkiye,season_lineups
1149043,Ali Turap Bülbül,A. T. Bülbül,D,81,179,,1106611200,3061,540000,Türkiye,season_lineups
1008884,Kazımcan Karataş,K. Karataş,D,88,182,,1042675200,3061,2100000,Türkiye,season_lineups
867191,Christian Luyindama,C. Luyindama,D,,191,,757987200,3061,96000,DR Congo,season_lineups
904096,Barış Alper Yılmaz,B. A. Yılmaz,M,53,186,,959040000,3061,28000000,Türkiye,season_lineups
1394720,Hamza Akman,H. Akman,M,18,170,,1096243200,3061,390000,Türkiye,season_lineups
754794,Lucas Torreira,L. Torreira,M,34,168,,823996800,3061,12400000,Uruguay,season_lineups
32493,Dries Mertens,D. Mertens,M,,169,,547257600,3061,,Belgium,season_lineups
997155,Metehan Baltacı,M. Baltacı,D,3,189,,1036281600,3061,2100000,Türkiye,season_lineups
827540,Alexandru Cicâldău,A. Cicâldău,M,20,178,,868320000,3061,2700000,Romania,season_lineups
997153,Emin Bayram,E. Bayram,D,40,193,,1049241600,3061,3900000,Türkiye,season_lineups
100619,Omar Elabdellaoui,O. Elabdellaoui,D,3,179,,691891200,3061,,Norway,season_lineups
552680,Léo Dubois,L. Dubois,D,,178,,779500800,3061,,France,season_lineups
962283,Yusuf Demir,Y. Demir,F,22,173,,1054512000,3061,930000,Austria,season_lineups
800411,Milot Rashica,M. Rashica,M,7,177,,835920000,3061,3800000,Kosovo,season_lineups
918435,Mathias Ross,M. Ross,D,2,190,,979516800,3061,680000,Denmark,season_lineups
233114,Mauro Icardi,M. Icardi,F,9,181,,730080000,3061,5200000,Argentina,season_lineups
28367,Juan Mata,J. Mata,M,64,170,,578188800,3061,390000,Spain,season_lineups
190191,Emre Taşdemir,E. Taşdemir,D,33,176,,807840000,3061,91000,Türkiye,season_lineups
1210422,Jankat Yılmaz,J. Yılmaz,G,24,193,,1092614400,3061,880000,Türkiye,season_lineups
1210424,Baran Aksaka,B. Aksaka,M,8,178,,1043798400,3061,52000,Türkiye,season_lineups
138152,Kaan Ayhan,K. Ayhan,D,23,185,,784425600,3061,1900000,Türkiye,season_lineups
