match_id,home_ballpossession,away_ballpossession,home_bigchancecreated,away_bigchancecreated,home_totalshotsongoal,away_totalshotsongoal,home_goalkeepersaves,away_goalkeepersaves,home_cornerkicks,away_cornerkicks,home_fouls,away_fouls,home_passes,away_passes,home_totaltackle,away_totaltackle,home_freekicks,away_freekicks,home_yellowcards,away_yellowcards,home_shotsongoal,away_shotsongoal,home_hitwoodwork,away_hitwoodwork,home_shotsoffgoal,away_shotsoffgoal,home_blockedscoringattempt,away_blockedscoringattempt,home_totalshotsinsidebox,away_totalshotsinsidebox,home_totalshotsoutsidebox,away_totalshotsoutsidebox,home_bigchancescored,away_bigchancescored,home_bigchancemissed,away_bigchancemissed,home_accuratethroughball,away_accuratethroughball,home_fouledfinalthird,away_fouledfinalthird,home_offsides,away_offsides,home_accuratepasses,away_accuratepasses,home_throwins,away_throwins,home_finalthirdentries,away_finalthirdentries,home_accuratelongballs,away_accuratelongballs,home_accuratecross,away_accuratecross,home_duelwonpercent,away_duelwonpercent,home_dispossessed,away_dispossessed,home_groundduelspercentage,away_groundduelspercentage,home_aerialduelspercentage,away_aerialduelspercentage,home_dribblespercentage,away_dribblespercentage,home_wontacklepercent,away_wontacklepercent,home_interceptionwon,away_interceptionwon,home_totalclearance,away_totalclearance,home_goalkicks,away_goalkicks,home_redcards,away_redcards,home_ballrecovery,away_ballrecovery
10433857,60,40,2,3,11,14,3,4,8,3,17,11,556,378,17,11,11,16,3,2,6,5,0,0,4,5,1,4,8,6,3,8,1,2,1,1,0,3,1,4,3,2,491,314,23,21,58,39,35,26,7,0,53,47,4,7,38,33,4,5,9,6,8,6,7,13,7,21,6,7,,,,
10433860,37,63,2,3,4,13,1,0,2,2,15,12,363,621,21,12,10,13,1,1,2,7,0,0,2,5,0,1,3,9,1,4,2,3,,,1,0,1,2,7,0,280,526,22,20,35,59,30,29,2,3,52,48,10,5,37,34,12,12,6,9,14,9,21,6,17,10,5,2,,,,
10433875,59,41,1,2,14,11,3,1,2,4,19,13,498,347,18,13,11,17,1,2,4,4,0,0,7,4,3,3,11,8,3,3,1,1,0,1,1,0,5,3,5,4,431,265,14,21,61,38,19,22,3,4,52,48,6,11,32,36,17,9,4,6,14,9,7,6,9,17,6,10,,,,
10433974,61,39,0,2,6,7,2,0,2,3,9,10,601,386,15,31,10,9,2,2,0,3,0,0,4,3,2,1,3,4,3,3,0,1,0,1,0,1,2,2,3,3,497,287,38,17,60,38,39,20,2,1,45,55,23,12,30,47,17,10,5,7,10,10,8,11,7,11,6,8,,,,
10433862,41,59,2,2,11,12,1,2,4,0,8,12,339,501,20,7,11,8,1,2,3,2,1,0,6,7,2,3,9,8,2,4,0,1,2,1,0,1,3,2,0,3,255,431,15,22,57,47,25,33,6,1,64,36,5,12,34,18,15,9,3,3,10,5,15,3,15,11,12,10,,,,
10433948,33,67,3,0,12,8,2,3,4,7,7,12,284,591,16,10,10,6,1,2,6,3,1,1,4,2,2,3,8,4,4,4,1,0,2,0,0,1,2,2,6,3,201,502,16,26,54,80,22,28,7,5,60,40,7,9,31,23,19,10,5,7,10,6,16,2,21,8,2,4,,,,
10433987,56,44,0,3,16,12,1,1,9,2,5,13,493,394,19,19,13,5,1,5,4,3,0,0,8,7,4,2,9,5,7,7,0,2,0,1,0,1,3,1,2,1,394,280,23,22,78,50,43,16,5,3,62,38,8,11,42,28,20,10,10,5,13,10,10,9,11,30,6,13,0,1,,
10433868,54,46,3,3,19,12,3,3,10,7,15,13,326,284,12,21,12,12,3,4,5,4,2,0,12,6,2,2,12,8,7,4,0,1,3,2,1,0,5,5,0,4,245,203,24,18,51,52,25,23,5,5,48,52,8,9,32,38,19,18,8,5,7,12,8,12,28,29,6,12,,,,
10433898,48,52,1,1,16,12,3,3,4,6,10,15,441,465,15,13,14,9,3,5,4,5,2,1,8,4,4,3,12,9,4,3,,,1,1,0,1,3,2,2,1,357,382,22,20,73,40,32,23,7,2,60,40,8,10,38,29,15,7,9,7,11,10,16,8,12,11,6,6,,,,
10433977,55,45,2,4,22,16,5,3,9,1,17,17,428,358,9,16,13,16,1,3,7,7,0,0,7,7,8,2,14,10,8,6,2,0,0,4,1,2,3,2,2,1,369,292,16,22,42,39,29,18,8,4,45,55,8,4,29,37,8,8,7,5,6,11,4,8,14,17,9,8,,,,
10433866,60,40,3,1,21,10,3,6,5,3,13,16,537,354,23,14,14,12,3,6,8,5,0,0,5,2,8,3,14,6,7,4,2,1,1,0,2,0,4,1,3,1,467,279,18,19,58,44,32,29,4,6,54,46,9,19,49,34,15,20,12,8,18,7,13,10,11,15,4,7,0,1,,
10433895,51,49,1,1,12,8,3,2,2,3,18,23,374,356,13,16,21,16,7,6,3,3,0,0,7,4,2,1,8,4,4,4,1,0,0,1,0,1,6,1,0,4,305,277,11,17,55,49,24,30,4,3,51,49,11,10,38,38,20,17,5,6,7,10,2,5,15,9,4,13,1,0,,
10433869,36,64,5,2,8,11,1,2,1,5,12,10,345,613,21,12,8,12,3,3,5,4,0,1,2,4,1,3,8,7,0,4,3,1,2,1,0,1,1,2,1,2,268,557,20,21,38,90,26,34,5,1,56,44,7,10,36,29,14,10,7,5,11,2,7,4,19,14,7,3,,,,
10433955,61,39,5,0,16,9,1,4,4,6,21,11,549,351,27,17,8,21,4,1,4,1,0,0,9,2,3,6,11,2,5,7,,,5,0,1,0,2,1,1,5,467,274,14,18,68,50,29,25,8,5,49,51,6,16,38,41,6,5,3,3,19,7,5,12,17,21,6,16,0,1,,
10433990,48,52,2,1,10,9,2,0,5,4,11,7,409,445,19,15,6,11,2,2,1,3,0,0,4,5,5,1,5,5,5,4,1,1,1,0,,,3,3,2,1,325,349,18,29,55,63,39,37,3,5,45,55,6,10,32,33,16,25,7,8,8,4,7,7,25,30,7,6,,,,
10433896,53,47,3,2,13,15,4,7,6,5,12,16,425,383,20,18,12,10,1,0,9,6,0,0,2,7,2,2,9,8,4,7,1,1,2,1,3,0,1,3,0,1,333,300,26,21,53,63,25,16,2,5,53,47,13,8,36,30,20,19,4,2,13,10,12,11,19,20,9,3,,,,
10433932,50,50,2,2,14,7,2,1,6,3,16,18,357,355,17,24,18,15,2,3,2,4,0,0,9,1,3,2,5,5,9,2,1,1,1,1,1,1,5,0,1,7,275,259,21,20,55,45,21,28,2,2,54,46,13,9,44,42,24,16,10,5,14,20,12,10,6,17,2,13,1,0,,
10433867,60,40,0,4,10,16,4,3,2,6,14,15,517,324,23,19,13,14,2,2,3,10,0,2,5,6,2,0,4,11,6,5,0,3,0,1,,,2,4,0,1,429,245,21,20,57,41,41,16,1,4,50,50,9,18,40,39,11,12,4,6,13,12,9,11,15,9,7,11,,,,
10433934,60,40,3,2,18,11,2,5,7,5,16,11,534,369,8,13,10,16,1,3,8,5,1,0,7,4,3,2,13,8,5,3,3,2,,,,,3,0,4,1,466,282,26,12,75,37,25,22,8,5,42,58,7,3,20,32,12,13,2,3,5,7,9,16,7,37,5,12,,,,
10433870,72,28,1,2,15,9,0,1,9,2,11,16,605,236,10,8,14,11,4,4,2,2,1,1,7,3,6,4,10,6,5,3,0,2,1,0,,,3,2,1,1,528,162,23,20,76,28,29,23,11,3,59,41,4,6,32,22,15,11,8,3,6,4,6,8,10,22,3,18,,,,
10433944,50,50,1,2,8,10,4,3,5,3,6,11,480,488,16,11,11,6,3,5,3,5,0,0,3,2,2,3,4,3,4,7,0,1,1,1,,,4,3,0,1,399,411,14,17,52,49,28,37,8,2,52,48,8,10,31,25,12,14,4,8,10,7,11,12,9,20,6,10,,,,
11072242,61,39,1,0,20,3,1,5,8,1,12,16,535,353,14,24,16,11,1,3,5,1,0,0,10,1,5,1,17,1,3,2,,,1,0,1,0,3,1,3,4,449,248,33,19,58,41,53,26,11,1,58,42,15,10,50,39,15,8,20,4,10,12,10,6,8,21,4,11,,,64,62
