team_id,season_id,matches,goalsScored,goalsConceded,assists,shots,shotsOnTarget,bigChances,bigChancesCreated,averageBallPossession,totalPasses,accuratePassesPercentage,tackles,interceptions,clearances,saves,yellowCards,redCards,avgRating
3061,42632,34,77,27,49,638,248,107,71,56.852941176471,16077,81.445543322759,573,331,466,83,75,4,6.9782196969697
3052,42632,34,81,42,49,529,192,101,66,59.617647058824,16753,83.358204500686,539,315,418,82,73,7,6.890037593985
3050,42632,34,72,36,50,514,186,88,62,52.735294117647,15158,81.184852882966,615,321,542,67,78,5,6.9285132382892
3101,42632,34,70,45,50,589,213,86,61,49.441176470588,15086,83.421715497813,538,305,627,113,68,7,6.9238834951456
3086,42632,34,48,37,28,392,146,59,41,53.147058823529,16750,84.035820895522,510,278,587,103,71,6,6.8201550387597
3051,42632,35,61,54,30,546,196,80,44,54.714285714286,17896,83.24765310684,527,345,471,96,66,5,6.8488073394495
4954,42632,34,69,63,46,391,163,71,44,48,15186,81.239299354669,481,326,630,105,81,4,6.8156126482213
3085,42632,34,43,41,27,433,148,73,54,50.382352941176,14927,82.816373015341,514,327,503,95,84,5,6.8225048923679
3072,42632,34,49,61,38,404,124,66,49,51.294117647059,15558,82.748425247461,559,319,621,111,61,4,6.790366088632
6063,42632,35,42,61,25,419,149,66,46,45,13371,77.092214494054,566,410,613,101,88,4,6.7626223091977
3103,42632,35,40,53,28,418,141,73,54,49.914285714286,14905,79.765179469977,601,314,610,121,66,2,6.7569029850746
3076,42632,35,43,54,28,435,153,70,56,46.514285714286,13916,77.687553894797,599,371,521,99,58,4,6.8030888030888
3056,42632,35,43,55,27,437,153,66,54,49.142857142857,14780,79.208389715832,677,329,543,105,68,6,6.7555762081784
6362,42632,34,48,70,31,356,131,77,56,53.441176470588,16764,83.637556669053,558,249,536,123,75,3,6.7443396226415
3066,42632,34,41,63,24,348,122,59,39,43.764705882353,13709,77.846670070756,598,408,711,127,85,4,6.7375
5765,42632,34,36,60,23,415,139,63,44,44,12421,76.676596087272,577,345,586,105,90,3,6.71015625
55625,42632,34,41,64,23,426,138,71,48,47,13316,78.416942024632,495,355,712,132,74,6,6.7753271028037
5138,42632,22,31,30,23,256,94,34,26,43.636363636364,8461,78.15861009337,362,220,477,76,67,3,6.8155279503106
3091,42632,21,19,38,14,216,65,43,32,48.857142857143,9010,81.009988901221,307,183,396,81,50,2,6.7464174454829
