position,team,team_id,matches,wins,draws,losses,goals_for,goals_against,goal_diff,points
1,Galatasaray,3061,36,28,4,4,83,27,+56,88
2,Fenerbahçe,3052,36,25,5,6,87,42,+45,80
3,Beşiktaş JK,3050,36,23,9,4,78,36,+42,78
4,Adana Demirspor,3101,36,20,9,7,76,45,+31,69
5,Başakşehir FK,3086,36,18,8,10,54,37,+17,62
6,Trabzonspor,3051,36,17,6,13,64,54,+10,57
7,Fatih Karagümrük,4954,36,13,12,11,75,63,+12,51
8,Konyaspor,3085,36,12,15,9,49,41,+8,51
9,Kayserispor,3072,36,15,5,16,55,61,-6,47
10,Kasımpaşa,6063,36,12,7,17,45,61,-16,43
11,MKE Ankaragücü,3103,36,12,6,18,43,53,-10,42
12,Sivasspor,3076,36,11,8,17,46,54,-8,41
13,Antalyaspor,3056,36,11,8,17,46,55,-9,41
14,Alanyaspor,6362,36,11,8,17,54,70,-16,41
15,İstanbulspor,3066,36,12,5,19,47,63,-16,41
16,Giresunspor,5765,36,10,10,16,42,60,-18,40
17,Ümraniyespor,55625,36,7,9,20,47,64,-17,30
18,Gaziantep FK,5138,36,6,7,23,31,72,-41,25
19,Hatayspor,3091,36,6,5,25,19,83,-64,23
