position,team,team_id,matches,wins,draws,losses,goals_for,goals_against,goal_diff,points
1,Galatasaray,3061,26,20,4,2,62,18,+44,64
2,Fenerbahçe,3052,27,17,9,1,61,28,+33,60
3,Trabzonspor,3051,27,18,6,3,53,29,+24,60
4,Beşiktaş JK,3050,27,15,7,5,49,31,+18,52
5,Başakşehir FK,3086,27,12,7,8,44,30,+14,43
6,Göztepe,3054,26,11,10,5,30,20,+10,43
7,Samsunspor,3053,26,8,11,7,29,31,-2,35
8,Kocaelispor,3065,27,9,6,12,23,32,-9,33
9,Gaziantep FK,5138,27,8,9,10,36,46,-10,33
10,Alanyaspor,6362,27,6,13,8,33,32,+1,31
11,Çaykur Rizespor,3064,26,7,9,10,32,36,-4,30
12,Konyaspor,3085,27,7,9,11,31,39,-8,30
13,Gençlerbirliği,7802,27,6,7,14,28,37,-9,25
14,Antalyaspor,3056,27,6,7,14,25,43,-18,25
15,Kasımpaşa,6063,27,5,9,13,23,38,-15,24
16,Kayserispor,3072,27,4,11,12,21,48,-27,23
17,Eyüpspor,7040,27,5,7,15,19,38,-19,22
18,Fatih Karagümrük,4954,27,4,5,18,24,47,-23,17
