team_id,season_id,matches,goalsScored,goalsConceded,assists,shots,shotsOnTarget,bigChances,bigChancesCreated,averageBallPossession,totalPasses,accuratePassesPercentage,tackles,interceptions,clearances,saves,yellowCards,redCards,avgRating
3061,77805,26,62,18,45,440,153,94,73,61.692307692308,13361,87.703016241299,403,193,503,69,51,3,7.0235732009926
3052,77805,27,61,28,41,470,167,83,53,59.518518518519,13161,85.996504824861,486,225,446,63,63,1,6.9510688836104
3051,77805,27,53,29,36,414,151,74,55,55.222222222222,12132,86.383119024069,424,201,537,76,42,3,6.9590909090909
3050,77805,27,49,31,32,449,168,84,58,54.666666666667,11655,82.531102531103,433,233,640,65,61,4,6.8827319587629
3086,77805,27,44,30,33,351,127,68,52,54.851851851852,11784,83.935845213849,361,218,549,88,57,4,6.8793349168646
3054,77805,26,30,20,19,355,116,58,34,38.538461538462,6668,68.611277744451,400,266,742,73,60,4,6.7924870466321
3053,77805,26,29,31,16,334,94,57,41,53.307692307692,11204,82.675830060693,423,187,571,62,55,2,6.7696658097686
3065,77805,27,23,32,15,279,85,43,24,49.037037037037,9986,79.861806529141,396,251,612,53,64,2,6.7047381546135
5138,77805,27,36,46,29,348,119,55,44,49.851851851852,10209,82.006073072779,432,262,609,92,79,5,6.7625
6362,77805,27,33,32,24,350,111,52,43,48.333333333333,10951,83.800566158342,311,222,583,72,62,1,6.810843373494
3064,77805,26,32,36,19,325,99,48,36,48.769230769231,9946,81.218580333803,406,232,682,83,63,2,6.7443609022556
3085,77805,27,31,39,21,366,112,54,43,53.740740740741,11247,82.146350137815,400,227,560,62,67,1,6.780303030303
7802,77805,27,28,37,16,281,91,44,34,41.296296296296,8444,77.747513027001,397,236,761,92,55,6,6.7162436548223
3056,77805,27,25,43,19,233,90,32,25,43.851851851852,8998,78.095132251611,430,211,794,94,63,2,6.7200992555831
6063,77805,27,23,38,16,269,71,38,30,45.185185185185,9284,77.531236535976,423,226,683,70,68,4,6.6918781725888
3072,77805,27,21,48,19,317,102,53,46,46.37037037037,9613,79.506917715593,375,222,623,100,70,3,6.6889975550122
7040,77805,27,19,38,11,288,94,50,36,50.296296296296,10631,81.111842724109,449,247,654,91,61,1,6.7438554216867
4954,77805,27,24,47,18,290,88,42,36,45.555555555556,9992,78.502802241793,360,248,648,99,50,3,6.6507389162562
