player_id,team_id,season_id,appearances,matches_started,minutes_played,goals,assists,expected_goals,expected_assists,yellow_cards,red_cards,rating,total_shots,shots_on_target,accurate_passes,total_passes,accurate_passes_pct,key_passes,tackles,interceptions,successful_dribbles,ground_duels_won_pct,aerial_duels_won_pct,saves,clean_sheets,goals_conceded,big_chances_created,big_chances_missed
70,3050,3831,21,18,1890,3,0,,,2,0,,,,,,,,,,,,,,,,,
486,3050,3831,27,27,2395,2,0,,,3,0,,,,,,,,,,,,,,,,,
1112,3050,3831,22,18,1980,0,1,,,1,0,,,,,,,,,,,,,,,,,
2363,3050,3831,19,17,1457,1,1,,,3,0,,,,,,,,,,,,,,,,,
4737,3050,3831,1,1,69,0,0,,,0,0,,,,,,,,,,,,,,,,,
5314,3050,3831,17,14,1530,1,0,,,5,0,,,,,,,,,,,,,,,,,
5500,3050,3831,10,7,614,0,1,,,2,0,,,,,,,,,,,,,,,,,
5508,3050,3831,28,26,2138,1,2,,,9,1,,,,,,,,,,,,,,,,,
6254,3050,3831,19,16,1710,5,6,,,7,2,,,,,,,,,,,,,,,,,
12232,3050,3831,18,11,819,3,1,,,1,0,,,,,,,,,,,,,,,,,
12412,3050,3831,25,25,2250,4,0,,,4,0,,,,,,,,,,,,,,,,,
12935,3050,3831,22,19,1640,10,3,,,5,1,,,,,,,,,,,,,,,,,
12982,3050,3831,26,25,2190,5,9,,,5,1,,,,,,,,,,,,,,,,,
42110,3050,3831,10,9,780,2,0,,,0,0,,,,,,,,,,,,,,,,,
43394,3050,3831,28,19,1713,0,0,,,2,1,,,,,,,,,,,,,,,,,
43556,3050,3831,26,25,2295,0,0,,,1,0,,,,,,,,,,,,,,,,,
43605,3050,3831,25,23,2110,0,1,,,2,0,,,,,,,,,,,,,,,,,
43643,3050,3831,30,27,2700,8,1,,,2,0,,,,,,,,,,,,,,,,,
43711,3050,3831,31,31,2669,1,1,,,6,1,,,,,,,,,,,,,,,,,
44209,3050,3831,10,5,439,0,0,,,3,0,,,,,,,,,,,,,,,,,
45871,3050,3831,5,1,179,0,0,,,1,0,,,,,,,,,,,,,,,,,
60403,3050,3831,4,3,262,0,0,,,0,0,,,,,,,,,,,,,,,,,
74144,3050,3831,5,0,32,0,0,,,0,0,,,,,,,,,,,,,,,,,
124950,3050,3831,3,0,37,0,0,,,0,0,,,,,,,,,,,,,,,,,
125042,3050,3831,3,1,16,0,0,,,0,0,,,,,,,,,,,,,,,,,
148433,3050,3831,1,0,90,0,0,,,0,0,,,,,,,,,,,,,,,,,
1422240,3050,3831,9,9,765,0,0,,,0,0,,,,,,,,,,,,,,,,,
1422491,3050,3831,25,22,1902,3,5,,,4,0,,,,,,,,,,,,,,,,,
58,3051,3831,29,21,1867,5,7,,,1,0,,,,,,,,,,,,,,,,,
