position,team,team_id,matches,wins,draws,losses,goals_for,goals_against,goal_diff,points
1,Galatasaray,3061,34,23,8,3,69,24,+45,77
2,Fenerbahçe,3052,34,20,8,6,61,34,+27,68
3,Trabzonspor,3051,34,15,11,8,60,40,+20,56
4,Beşiktaş JK,3050,34,15,10,9,50,39,+11,55
5,Eskişehirspor,6364,34,14,8,12,42,41,+1,50
6,Başakşehir FK,3086,34,14,8,12,48,49,-1,50
7,Sivasspor,3076,34,13,11,10,57,54,+3,50
8,Bursaspor,3055,34,13,10,11,44,35,+9,49
9,Gençlerbirliği,7802,34,13,10,11,49,48,+1,49
10,Gaziantepspor,3060,34,13,9,12,40,33,+7,48
11,Kayserispor,3072,34,13,5,16,42,39,+3,44
12,Karabükspor,7027,34,13,5,16,44,56,-12,44
13,Mersin İdman Yurdu,3102,34,12,6,16,34,45,-11,42
14,Orduspor,5140,34,10,12,12,28,34,-6,42
15,Antalyaspor,3056,34,10,9,15,32,42,-10,39
16,Samsunspor,3053,34,9,9,16,36,47,-11,36
17,Manisaspor,3100,34,8,8,18,31,52,-21,32
18,MKE Ankaragücü,3103,34,2,5,27,22,77,-55,11
