match_id,season_id,round,start_timestamp,home_team,home_team_id,away_team,away_team_id,home_score,away_score,home_ht,away_ht,winner_code,status,status_code
1921059,3831,1,1315665000,Eskişehirspor,6364,Beşiktaş JK,3050,2,1,1,1,1,Ended,100
1921065,3831,1,1315665000,Samsunspor,3053,Gençlerbirliği,7802,3,2,3,0,1,Ended,100
1921057,3831,1,1315674000,MKE Ankaragücü,3103,Mersin İdman Yurdu,3102,1,2,0,0,2,Ended,100
1921069,3831,1,1315674000,Manisaspor,3100,Trabzonspor,3051,1,1,0,1,3,Ended,100
1921061,3831,1,1315751400,Bursaspor,3055,Kayserispor,3072,3,0,2,0,1,Ended,100
1921063,3831,1,1315751400,Karabükspor,7027,Sivasspor,3076,2,1,2,1,1,Ended,100
1921055,3831,1,1315760400,Antalyaspor,3056,Gaziantepspor,3060,1,0,0,0,1,Ended,100
1921067,3831,1,1315760400,Başakşehir FK,3086,Galatasaray,3061,2,0,1,0,1,Ended,100
1921071,3831,1,1315846800,Fenerbahçe,3052,Orduspor,5140,1,0,1,0,1,Ended,100
2587984,3831,1,1334403000,Başakşehir FK,3086,Eskişehirspor,6364,1,1,0,1,3,Ended,100
2587882,3831,1,1334419200,Beşiktaş JK,3050,Galatasaray,3061,,,,,,Postponed,60
2587986,3831,1,1334489400,Sivasspor,3076,Bursaspor,3055,4,0,2,0,1,Ended,100
2587880,3831,1,1334505600,Fenerbahçe,3052,Trabzonspor,3051,2,0,1,0,1,Ended,100
2605340,3831,1,1334595600,Beşiktaş JK,3050,Galatasaray,3061,0,2,0,1,2,Ended,100
1921085,3831,2,1316192400,Gaziantepspor,3060,Fenerbahçe,3052,1,3,1,1,2,Ended,100
1921083,3831,2,1316192400,Kayserispor,3072,Antalyaspor,3056,0,1,0,0,2,Ended,100
1921079,3831,2,1316269800,Gençlerbirliği,7802,Karabükspor,7027,2,1,2,0,1,Ended,100
1921089,3831,2,1316278800,Orduspor,5140,Manisaspor,3100,1,0,1,0,1,Ended,100
1921075,3831,2,1316278800,Trabzonspor,3051,Başakşehir FK,3086,0,1,0,0,2,Ended,100
1921073,3831,2,1316350800,Mersin İdman Yurdu,3102,Bursaspor,3055,1,3,1,1,2,Ended,100
1921087,3831,2,1316356200,Sivasspor,3076,Eskişehirspor,6364,0,4,0,2,2,Ended,100
1921077,3831,2,1316365200,Galatasaray,3061,Samsunspor,3053,3,1,1,0,1,Ended,100
1921081,3831,2,1316451600,Beşiktaş JK,3050,MKE Ankaragücü,3103,3,1,1,0,1,Ended,100
2587988,3831,2,1335009600,Bursaspor,3055,Başakşehir FK,3086,3,2,2,1,1,Ended,100
2587990,3831,2,1335009600,Eskişehirspor,6364,Sivasspor,3076,1,1,1,0,3,Ended,100
2587966,3831,2,1335024000,Trabzonspor,3051,Beşiktaş JK,3050,1,0,0,0,1,Ended,100
2587964,3831,2,1335110400,Galatasaray,3061,Fenerbahçe,3052,1,2,0,1,2,Ended,100
1921103,3831,3,1316538000,Başakşehir FK,3086,Orduspor,5140,1,1,0,1,3,Ended,100
1921091,3831,3,1316538000,Fenerbahçe,3052,Manisaspor,3100,1,1,1,0,3,Ended,100
1921105,3831,3,1316538000,Gaziantepspor,3060,Kayserispor,3072,1,2,1,0,2,Ended,100
1921095,3831,3,1316619900,Karabükspor,7027,Galatasaray,3061,1,1,0,0,3,Ended,100
1921097,3831,3,1316624400,Antalyaspor,3056,Mersin İdman Yurdu,3102,1,2,0,1,2,Ended,100
1921101,3831,3,1316624400,Eskişehirspor,6364,Gençlerbirliği,7802,0,0,0,0,3,Ended,100
1921107,3831,3,1316628900,Samsunspor,3053,Trabzonspor,3051,1,1,0,1,3,Ended,100
1921093,3831,3,1316710800,Bursaspor,3055,Beşiktaş JK,3050,1,2,1,0,2,Ended,100
1921099,3831,3,1316710800,MKE Ankaragücü,3103,Sivasspor,3076,1,2,0,1,2,Ended,100
2587994,3831,3,1335614400,Başakşehir FK,3086,Sivasspor,3076,4,2,2,2,1,Ended,100
2587968,3831,3,1335628800,Trabzonspor,3051,Galatasaray,3061,2,4,0,3,2,Ended,100
2587992,3831,3,1335700800,Eskişehirspor,6364,Bursaspor,3055,2,0,1,0,1,Ended,100
2587970,3831,3,1335715200,Fenerbahçe,3052,Beşiktaş JK,3050,2,1,0,0,1,Ended,100
1921731,3831,4,1316797200,Kayserispor,3072,Fenerbahçe,3052,0,1,0,1,2,Ended,100
1921729,3831,4,1316876400,Mersin İdman Yurdu,3102,Gaziantepspor,3060,2,0,1,0,1,Ended,100
1921723,3831,4,1316883600,Manisaspor,3100,Başakşehir FK,3086,0,2,0,1,2,Ended,100
