position,team,team_id,matches,wins,draws,losses,goals_for,goals_against,goal_diff,points
1,Galatasaray,3061,36,30,5,1,91,31,+60,95
2,Fenerbahçe,3052,36,26,6,4,90,39,+51,84
3,Samsunspor,3053,36,19,7,10,55,41,+14,64
4,Beşiktaş JK,3050,36,17,11,8,59,36,+23,62
5,Başakşehir FK,3086,36,16,6,14,60,56,+4,54
6,Eyüpspor,7040,36,15,8,13,52,47,+5,53
7,Trabzonspor,3051,36,13,12,11,58,45,+13,51
8,Göztepe,3054,36,13,11,12,59,50,+9,50
9,Çaykur Rizespor,3064,36,15,4,17,52,58,-6,49
10,Kasımpaşa,6063,36,11,14,11,62,63,-1,47
11,Konyaspor,3085,36,13,7,16,45,50,-5,46
12,Alanyaspor,6362,36,12,9,15,43,50,-7,45
13,Kayserispor,3072,36,11,12,13,45,57,-12,45
14,Gaziantep FK,5138,36,12,9,15,45,50,-5,45
15,Antalyaspor,3056,36,12,8,16,37,62,-25,44
16,Bodrum FK,202390,36,9,10,17,26,43,-17,37
17,Sivasspor,3076,36,9,8,19,44,60,-16,35
18,Hatayspor,3091,36,6,8,22,47,74,-27,26
19,Adana Demirspor,3101,36,3,5,28,34,92,-58,2
